reviewid,title,url,score,best_new_music,author,author_type,pub_date,pub_weekday,pub_day,pub_month,pub_year
22687,skin companion ep i,http://pitchfork.com/reviews/albums/22687-skin-companion-ep-i/,6.6,0,nathan reese,contributor,2016-12-14,2,14,12,2016
22662,hologram mparatorluu,http://pitchfork.com/reviews/albums/22662-hologram-imparatorlugu/,7.4,0,andy beta,contributor,2016-12-14,2,14,12,2016
22317,sketches for my sweetheart the drunk,http://pitchfork.com/reviews/albums/22317-sketches-for-my-sweetheart-the-drunk/,8,0,ryan dombal,senior editor,2016-12-11,6,11,12,2016
22673,the hamilton mixtape,http://pitchfork.com/reviews/albums/22673-the-hamilton-mixtape/,4.8,0,jayson greene,senior editor,2016-12-10,5,10,12,2016
22655,bucket list project,http://pitchfork.com/reviews/albums/22655-bucket-list-project/,7,0,sheldon pearce,associate staff writer,2016-12-10,5,10,12,2016
22593,bobo yy: belle poque in upper volta,http://pitchfork.com/reviews/albums/22593-bobo-yeye-belle-epoque-in-upper-volta/,8.4,1,andy beta,contributor,2016-12-10,5,10,12,2016
22627,welcome to sideways,http://pitchfork.com/reviews/albums/22627-welcome-to-sideways/,6.8,0,cameron cook,contributor,2016-12-10,5,10,12,2016
22555,box,http://pitchfork.com/reviews/albums/22555-gas-box/,9.5,1,andy beta,contributor,2016-12-09,4,9,12,2016
22682,zero gravity ep,http://pitchfork.com/reviews/albums/22682-zero-gravity-ep/,7.8,0,sheldon pearce,associate staff writer,2016-12-09,4,9,12,2016
22679,africa express presents... the orchestra of syrian musicians & guests,http://pitchfork.com/reviews/albums/22679-africa-express-presents-the-orchestra-of-syrian-musicians-guests/,8,0,kevin lozano,tracks coordinator,2016-12-09,4,9,12,2016
22657,blessed initiative,http://pitchfork.com/reviews/albums/22657-blessed-initiative/,7.5,0,saby reyes-kulkarni,contributor,2016-12-09,4,9,12,2016
22654,peace trail,http://pitchfork.com/reviews/albums/22654-peace-trail/,6.7,0,sam sodomsky,associate staff writer,2016-12-08,3,8,12,2016
22631,badmotorfinger,http://pitchfork.com/reviews/albums/22631-badmotorfinger/,8.3,0,saby reyes-kulkarni,contributor,2016-12-08,3,8,12,2016
22683,relationships,http://pitchfork.com/reviews/albums/22683-relationships/,7,0,mehan jayasuriya,contributor,2016-12-08,3,8,12,2016
22635,der klang der offenbarung des gttlichen,http://pitchfork.com/reviews/albums/22635-der-klang-der-offenbarung-des-gottlichen/,7.8,0,ben scheim,contributor,2016-12-08,3,8,12,2016
22653,blue & lonesome,http://pitchfork.com/reviews/albums/22653-blue-lonesome/,6.9,0,stuart berman,contributor,2016-12-07,2,7,12,2016
22672,1017 vs. the world,http://pitchfork.com/reviews/albums/22672-1017-vs-the-world/,6.8,0,israel daramola,contributor,2016-12-07,2,7,12,2016
22536,how to disappear in america,http://pitchfork.com/reviews/albums/22536-how-to-disappear-in-america/,7.4,0,philip sherburne,contributing editor,2016-12-07,2,7,12,2016
22676,harlequin,http://pitchfork.com/reviews/albums/22676-harlequin/,6.3,0,evan rytlewski,contributor,2016-12-07,2,7,12,2016
22671,"awaken, my love",http://pitchfork.com/reviews/albums/22671-awaken-my-love/,7.2,0,matthew strauss,associate editor,2016-12-06,1,6,12,2016
22675,zoovier,http://pitchfork.com/reviews/albums/22675-zoovier/,6.4,0,sheldon pearce,associate staff writer,2016-12-06,1,6,12,2016
22680,the weight of these wings,http://pitchfork.com/reviews/albums/22680-the-weight-of-these-wings/,7.8,0,sam sodomsky,associate staff writer,2016-12-06,1,6,12,2016
22641,love and noir.,http://pitchfork.com/reviews/albums/22641-love-and-noir/,6.6,0,andy beta,contributor,2016-12-06,1,6,12,2016
22645,darkness and light,http://pitchfork.com/reviews/albums/22645-darkness-and-light/,7,0,marcus j. moore,contributor,2016-12-05,0,5,12,2016
22393,unfinished music no. 1: two virgins,http://pitchfork.com/reviews/albums/22393-unfinished-music-no-1-two-virgins-unfinished-music-no-2-life-with-the-lions-yoko-ono-plastic-ono-band/,6.8,1,seth colter walls,contributor,2016-12-05,0,5,12,2016
22660,only heaven,http://pitchfork.com/reviews/albums/22660-coldcut-only-heaven/,5.2,0,philip sherburne,contributing editor,2016-12-05,0,5,12,2016
22553,let it be you,http://pitchfork.com/reviews/albums/22553-let-it-be-you/,6.9,0,saby reyes-kulkarni,contributor,2016-12-05,0,5,12,2016
22626,the devil and god are raging inside me,http://pitchfork.com/reviews/albums/22626-the-devil-and-god-are-raging-inside-me/,8.5,0,ian cohen,contributor,2016-12-04,6,4,12,2016
22639,singles,http://pitchfork.com/reviews/albums/22639-sun-ra-singles/,8.7,1,dean van nguyen,contributor,2016-12-03,5,3,12,2016
22658,hxan,http://pitchfork.com/reviews/albums/22658-haxan/,6.9,0,daniel martin-mccormick,contributor,2016-12-03,5,3,12,2016
22638,remain calm,http://pitchfork.com/reviews/albums/22638-remain-calm/,7.7,0,thea ballard,contributor,2016-12-03,5,3,12,2016
22656,broken knowz,http://pitchfork.com/reviews/albums/22656-broken-knowz/,7.5,0,jay balfour,contributor,2016-12-03,5,3,12,2016
22669,out of time,http://pitchfork.com/reviews/albums/22669-out-of-time/,8.4,0,evan rytlewski,contributor,2016-12-02,4,2,12,2016
22634,24k magic,http://pitchfork.com/reviews/albums/22634-24k-magic/,6.2,0,katherine st. asaph,contributor,2016-12-02,4,2,12,2016
22632,keita sano,http://pitchfork.com/reviews/albums/22632-keita-sano/,7.4,0,drew gaerig,contributor,2016-12-02,4,2,12,2016
22652,amore per tutti,http://pitchfork.com/reviews/albums/22652-amore-per-tutti/,7,0,saby reyes-kulkarni,contributor,2016-12-02,4,2,12,2016
22674,young death / nightmarket,http://pitchfork.com/reviews/albums/22674-young-death-nightmarket/,6.9,0,mark richardson,executive editor,2016-12-01,3,1,12,2016
22670,red friday,http://pitchfork.com/reviews/albums/22670-red-friday/,7.2,0,paul a. thompson,contributor,2016-12-01,3,1,12,2016
22646,abendrot,http://pitchfork.com/reviews/albums/22646-abendrot/,7.2,0,ian cohen,contributor,2016-12-01,3,1,12,2016
22535,what you get for being young,http://pitchfork.com/reviews/albums/22535-suzanne-kraft-what-you-get-for-being-young/,8,0,philip sherburne,contributing editor,2016-12-01,3,1,12,2016
22668,starboy,http://pitchfork.com/reviews/albums/22668-starboy/,6.7,0,mehan jayasuriya,contributor,2016-11-30,2,30,11,2016
22650,"pc music, vol. 2",http://pitchfork.com/reviews/albums/22650-pc-music-vol-2/,6.2,0,thea ballard,contributor,2016-11-30,2,30,11,2016
22651,mystery cove,http://pitchfork.com/reviews/albums/22651-mystery-cove/,6.5,0,paul thompson,contributor,2016-11-30,2,30,11,2016
22596,six pianos / keyboard study #1,http://pitchfork.com/reviews/albums/22596-six-pianos-keyboard-study-1/,7.2,0,daniel martin-mccormick,contributor,2016-11-30,2,30,11,2016
22644,woman,http://pitchfork.com/reviews/albums/22644-woman/,5.2,0,mehan jayasuriya,contributor,2016-11-29,1,29,11,2016
22649,wonderland,http://pitchfork.com/reviews/albums/22649-wonderland/,8.2,0,philip sherburne,contributing editor,2016-11-29,1,29,11,2016
22583,defy a thing to be,http://pitchfork.com/reviews/albums/22583-defy-a-thing-to-be/,6.5,0,kevin lozano,tracks coordinator,2016-11-29,1,29,11,2016
22595,l.a. heartbreak,http://pitchfork.com/reviews/albums/22595-la-heartbreak/,6.5,0,"edwin ""stats"" houghton",,2016-11-29,1,29,11,2016
22467,before the dawn,http://pitchfork.com/reviews/albums/22467-before-the-dawn/,8.5,1,laura snapes,contributor,2016-11-28,0,28,11,2016
22613,the d-boy diary books 1 & 2,http://pitchfork.com/reviews/albums/22613-the-d-boy-diary-books-1-2/,6.8,0,renato pagnani,contributor,2016-11-28,0,28,11,2016
22620,on behalf of nature,http://pitchfork.com/reviews/albums/22620-on-behalf-of-nature/,8.1,0,seth colter walls,contributor,2016-11-28,0,28,11,2016
22633,young narrator in the breakers,http://pitchfork.com/reviews/albums/22633-pavo-pavo-young-narrator-in-the-breakers/,7.2,0,cameron cook,contributor,2016-11-28,0,28,11,2016
22597,sixth stitch,http://pitchfork.com/reviews/albums/22597-via-app-sixth-stitch/,7.4,0,kevin lozano,tracks coordinator,2016-11-28,0,28,11,2016
22561,death certificate,http://pitchfork.com/reviews/albums/22561-death-certificate/,9.5,0,eric harvey,contributor,2016-11-27,6,27,11,2016
22648,redemption,http://pitchfork.com/reviews/albums/22648-redemption/,8,0,brad nelson,contributor,2016-11-26,5,26,11,2016
22531,what's your sign?,http://pitchfork.com/reviews/albums/22531-oneida-rhys-chatham-whats-your-sign/,7.8,0,jesse jarnow,contributor,2016-11-26,5,26,11,2016
22533,vergers,http://pitchfork.com/reviews/albums/22533-vergers/,7.5,0,philip sherburne,contributing editor,2016-11-26,5,26,11,2016
22637,a o r t a,http://pitchfork.com/reviews/albums/22637-a-o-r-t-a/,7.3,0,seth colter walls,contributor,2016-11-26,5,26,11,2016
22647,free bricks 2: zone 6 edition,http://pitchfork.com/reviews/albums/22647-free-bricks-2-zone-6-edition/,6.9,0,paul a. thompson,contributor,2016-11-23,2,23,11,2016
22614,boots no. 1: the official revival bootleg,http://pitchfork.com/reviews/albums/22614-boots-no-1-the-official-revival-bootleg/,7.9,0,jonathan bernstein,contributor,2016-11-23,2,23,11,2016
22622,worry.,http://pitchfork.com/reviews/albums/22622-worry/,8,0,ian cohen,contributor,2016-11-23,2,23,11,2016
22636,wyatt at the coyote palace,http://pitchfork.com/reviews/albums/22636-wyatt-at-the-coyote-palace/,7.5,0,katherine st. asaph,contributor,2016-11-23,2,23,11,2016
22629,hardwired...to self-destruct,http://pitchfork.com/reviews/albums/22629-hardwiredto-self-destruct/,6.5,0,zoe camp,contributor,2016-11-22,1,22,11,2016
22534,shadow boat ep,http://pitchfork.com/reviews/albums/22534-shadow-boat-ep/,8,0,philip sherburne,contributing editor,2016-11-22,1,22,11,2016
22565,ring spiel tour 95,http://pitchfork.com/reviews/albums/22565-ring-spiel-tour-95/,8,0,caryn rose,contributor,2016-11-22,1,22,11,2016
22395,daniel bachman,http://pitchfork.com/reviews/albums/22395-daniel-bachman/,7.3,0,marc masters,contributor,2016-11-22,1,22,11,2016
22592,incunabula,http://pitchfork.com/reviews/albums/22592-incunabula-amber-tri-repetae/,8.2,1,andy beta,contributor,2016-11-21,0,21,11,2016
22598,no waves,http://pitchfork.com/reviews/albums/22598-no-waves/,7.4,0,jes skolnik,contributor,2016-11-21,0,21,11,2016
22628,patterns of light,http://pitchfork.com/reviews/albums/22628-patterns-of-light/,6.6,0,miles raymer,contributor,2016-11-21,0,21,11,2016
22624,on dark silent off,http://pitchfork.com/reviews/albums/22624-on-dark-silent-off/,8,0,saby reyes-kulkarni,contributor,2016-11-21,0,21,11,2016
22619,flasher ep,http://pitchfork.com/reviews/albums/22619-flasher-ep/,7.8,0,nina mashurova,,2016-11-21,0,21,11,2016
22642,im your man,http://pitchfork.com/reviews/albums/22642-im-your-man/,9.5,0,dorian lynskey,,2016-11-20,6,20,11,2016
22603,nightride,http://pitchfork.com/reviews/albums/22603-nightride/,7.8,0,rebecca haithcoat,contributor,2016-11-19,5,19,11,2016
22594,"the microcosm: visionary music of continental europe, 1970-1986",http://pitchfork.com/reviews/albums/22594-the-microcosm-visionary-music-of-continental-europe-1970-1986/,7.7,0,louis pattison,contributor,2016-11-19,5,19,11,2016
22630,highway songs,http://pitchfork.com/reviews/albums/22630-highway-songs/,7.4,0,marc masters,contributor,2016-11-19,5,19,11,2016
22552,yaroze dream suite,http://pitchfork.com/reviews/albums/22552-yaroze-dream-suite/,6.5,0,jonathan patrick,contributor,2016-11-19,5,19,11,2016
22625,an odd entrances,http://pitchfork.com/reviews/albums/22625-an-odd-entrances/,6.7,0,evan rytlewski,contributor,2016-11-18,4,18,11,2016
22618,persona ep,http://pitchfork.com/reviews/albums/22618-persona-ep/,7.5,0,andy beta,contributor,2016-11-18,4,18,11,2016
22602,telling it like it is,http://pitchfork.com/reviews/albums/22602-telling-it-like-it-is/,6.4,0,zoe camp,contributor,2016-11-18,4,18,11,2016
22621,luz,http://pitchfork.com/reviews/albums/22621-luz/,6.5,0,benjamin scheim,contributor,2016-11-18,4,18,11,2016
22607,we got it from here... thank you 4 your service,http://pitchfork.com/reviews/albums/22607-we-got-it-from-here-thank-you-4-your-service/,9,1,kris ex,contributor,2016-11-17,3,17,11,2016
22611,slugger,http://pitchfork.com/reviews/albums/22611-slugger/,7.4,0,quinn moreland,assistant editor,2016-11-17,3,17,11,2016
22616,ecologies ii: ecosystems of excess,http://pitchfork.com/reviews/albums/22616-ecologies-ii-ecosystems-of-excess/,6.3,0,louis pattison,contributor,2016-11-17,3,17,11,2016
22617,the madness of many,http://pitchfork.com/reviews/albums/22617-the-madness-of-many/,6.4,0,sam sodomsky,associate staff writer,2016-11-17,3,17,11,2016
22401,washington phillips and his manzarene dreams,http://pitchfork.com/reviews/albums/22401-washington-phillips-and-his-manzarene-dreams/,8.5,1,mike powell,contributor,2016-11-16,2,16,11,2016
22394,$uccessor (ded004),http://pitchfork.com/reviews/albums/22394-uccessor-ded004/,8.2,0,thea ballard,contributor,2016-11-16,2,16,11,2016
22457,&,http://pitchfork.com/reviews/albums/22457-ampersand/,7.7,0,philip sherburne,contributing editor,2016-11-16,2,16,11,2016
22501,michael gordon: timber remixed,http://pitchfork.com/reviews/albums/22501-michael-gordon-timber-remixed/,6.8,0,seth colter walls,contributor,2016-11-16,2,16,11,2016
22612,mc4,http://pitchfork.com/reviews/albums/22612-mc4/,7,0,paul a. thompson,contributor,2016-11-15,1,15,11,2016
22525,folk time,http://pitchfork.com/reviews/albums/22525-folk-time/,7.8,0,jesse jarnow,contributor,2016-11-15,1,15,11,2016
22610,long live the angels,http://pitchfork.com/reviews/albums/22610-long-live-the-angels/,5.4,0,katherine st. asaph,contributor,2016-11-15,1,15,11,2016
22518,restless,http://pitchfork.com/reviews/albums/22518-restless/,7.9,0,seth colter walls,contributor,2016-11-15,1,15,11,2016
22527,the complete sony recordings,http://pitchfork.com/reviews/albums/22527-the-complete-sony-recordings/,8.6,1,seth colter walls,contributor,2016-11-14,0,14,11,2016
22623,free the real (pt. 2),http://pitchfork.com/reviews/albums/22623-free-the-real-pt-2/,6.8,0,katherine st. asaph,contributor,2016-11-14,0,14,11,2016
22563,monument builders,http://pitchfork.com/reviews/albums/22563-monument-builders/,7.4,0,brian burlage,,2016-11-14,0,14,11,2016
22505,holiday for strings,http://pitchfork.com/reviews/albums/22505-holiday-for-strings/,7.9,0,jesse jarnow,contributor,2016-11-14,0,14,11,2016
22465,amalgam,http://pitchfork.com/reviews/albums/22465-amalgam/,8,0,seth colter walls,contributor,2016-11-14,0,14,11,2016
22506,double nickels on the dime,http://pitchfork.com/reviews/albums/22506-double-nickels-on-the-dime/,9.5,0,marc masters,contributor,2016-11-13,6,13,11,2016
22581,bleed for this ost,http://pitchfork.com/reviews/albums/22581-bleed-for-this-ost/,6,0,kevin lozano,tracks coordinator,2016-11-12,5,12,11,2016
22519,devil music,http://pitchfork.com/reviews/albums/22519-devil-music/,6.8,0,john s.w. macdonald,contributor,2016-11-12,5,12,11,2016
22608,hubris,http://pitchfork.com/reviews/albums/22608-hubris/,7.5,0,nathan reese,contributor,2016-11-12,5,12,11,2016
22573,ping pong,http://pitchfork.com/reviews/albums/22573-ping-pong/,6.6,0,saby reyes-kulkarni,contributor,2016-11-12,5,12,11,2016
22609,ded sec - watch dogs 2 (ost),http://pitchfork.com/reviews/albums/22609-ded-sec-watch-dogs-2-ost/,7.2,0,philip sherburne,contributing editor,2016-11-11,4,11,11,2016
22605,have a nice dream,http://pitchfork.com/reviews/albums/22605-have-a-nice-dream/,6,0,renato pagnani,contributor,2016-11-11,4,11,11,2016
22606,systems/layers,http://pitchfork.com/reviews/albums/22606-systemslayers/,8.5,1,benjamin scheim,contributor,2016-11-11,4,11,11,2016
22502,dead to the world,http://pitchfork.com/reviews/albums/22502-dead-to-the-world/,6.8,0,saby reyes kulkarni,contributor,2016-11-11,4,11,11,2016
22582,here,http://pitchfork.com/reviews/albums/22582-here/,6.5,0,vanessa okoth-obbo,contributor,2016-11-10,3,10,11,2016
22604,arcade,http://pitchfork.com/reviews/albums/22604-arcade/,7.2,0,matthew ramirez,contributor,2016-11-10,3,10,11,2016
22585,spaghetto,http://pitchfork.com/reviews/albums/22585-spaghetto/,7.8,0,kevin lozano,tracks coordinator,2016-11-10,3,10,11,2016
22560,ghosthouse ,http://pitchfork.com/reviews/albums/22560-ghosthouse/,7.2,0,raymond cummings,contributor,2016-11-10,3,10,11,2016
22589,collage ,http://pitchfork.com/reviews/albums/22589-collage/,3.5,0,kevin lozano,tracks coordinator,2016-11-09,2,9,11,2016
22584,origin of what,http://pitchfork.com/reviews/albums/22584-origin-of-what/,7.8,0,evan minsker,deputy news editor,2016-11-09,2,9,11,2016
22392,"lady, give me your key: the unissued 1967 solo acoustic sessions",http://pitchfork.com/reviews/albums/22392-lady-give-me-your-key-the-unissued-1967-solo-acoustic-sessions/,6.3,0,andy beta,contributor,2016-11-09,2,9,11,2016
22347,away with you,http://pitchfork.com/reviews/albums/22347-away-with-you/,8,0,seth colter walls,contributor,2016-11-09,2,9,11,2016
22571,jessica rabbit,http://pitchfork.com/reviews/albums/22571-jessica-rabbit/,5.9,0,evan rytlewski,contributor,2016-11-08,1,8,11,2016
22586,trap or die 3,http://pitchfork.com/reviews/albums/22586-trap-or-die-3/,6,0,evan rytlewski,contributor,2016-11-08,1,8,11,2016
22587,lodestar,http://pitchfork.com/reviews/albums/22587-lodestar/,8,0,louis pattison,contributor,2016-11-08,1,8,11,2016
22550,the visitor ,http://pitchfork.com/reviews/albums/22550-the-visitor/,7.2,0,marcus k. dowling,,2016-11-08,1,8,11,2016
22464,soft hair,http://pitchfork.com/reviews/albums/22464-soft-hair/,6.8,0,andy beta,contributor,2016-11-08,1,8,11,2016
22570,eternally even,http://pitchfork.com/reviews/albums/22570-eternally-even/,7.9,0,ryan leas,,2016-11-07,0,7,11,2016
22599,cozy tapes vol. 1: friends-,http://pitchfork.com/reviews/albums/22599-cozy-tapes-vol-1-friends-/,7.1,0,matthew strauss,associate editor,2016-11-07,0,7,11,2016
22558,apocalypse fetish,http://pitchfork.com/reviews/albums/22558-apocalypse-fetish/,6.5,0,saby reyes-kulkarni,contributor,2016-11-07,0,7,11,2016
22415,romantic,http://pitchfork.com/reviews/albums/22415-mannequin-pussy-romantic/,7.6,0,raymond cummings,contributor,2016-11-07,0,7,11,2016
22600,arrival,http://pitchfork.com/reviews/albums/22600-arrival/,8.6,0,simon goddard,,2016-11-06,6,6,11,2016
22566,blunted on reality,http://pitchfork.com/reviews/albums/22566-blunted-on-reality/,7.6,0,sheldon pearce,associate staff writer,2016-11-05,5,5,11,2016
22520,strange city (cd),http://pitchfork.com/reviews/albums/22520-sun-ra-merzbow-strange-city/,7.3,0,marc masters,contributor,2016-11-05,5,5,11,2016
22574,liberation,http://pitchfork.com/reviews/albums/22574-liberation/,7.2,0,jay balfour,contributor,2016-11-05,5,5,11,2016
22452,the deaner album,http://pitchfork.com/reviews/albums/22452-the-deaner-album/,6,0,matthew grosinger,contributor,2016-11-05,5,5,11,2016
22588,black america again,http://pitchfork.com/reviews/albums/22588-black-america-again/,7.9,0,edwin stats houghton,,2016-11-04,4,4,11,2016
22455,talk to you soon,http://pitchfork.com/reviews/albums/22455-talk-to-you-soon/,7.3,0,matthew grosinger,contributor,2016-11-04,4,4,11,2016
22480,keep flexin,http://pitchfork.com/reviews/albums/22480-keep-flexin/,6.5,0,mehan jayasuriya,contributor,2016-11-04,4,4,11,2016
22543,you know what its like,http://pitchfork.com/reviews/albums/22543-you-know-what-its-like/,7.4,0,saby reyes-kulkarni,contributor,2016-11-04,4,4,11,2016
22579,xxx,http://pitchfork.com/reviews/albums/22579-pussy-riot-xxx/,6.6,0,nina mashurova,,2016-11-03,3,3,11,2016
