Title,Plot
Christine,"In Detroit, Michigan September 1957, at a Chrysler Corporation assembly plant, a line worker props open the hood of a newly assembled 1958 Plymouth Fury, rests his hand in front of the radiator and bends down to inspect the front end. Without warning, the hood slams down on the worker's hand. As he is taken for medical attention, another worker who is smoking a cigar, sits behind the wheel. Whilst smoking his cigar, he drops a large piece of ash on the passenger seat. There is a cut to the end of the shift. Everyone leaves. The line supervisor notices the worker still slumped in the car seat. When he opens the door, the worker rolls out - stone cold dead with a look of terror on his face.
21 years later, in September 1978, Arnold ""Arnie"" Cunningham (Keith Gordon) is an awkward and unpopular teenager, in Rockbridge, California, with only one friend, Dennis Guilder (John Stockwell). Arnie's life begins to change when he buys a used, badly battered red-and-white 1958 Plymouth Fury named ""Christine"" (the same car from the assembly plant), in need of extensive repairs. Due to his parents being against him keeping the car in their yard, Arnie begins to restore Christine at Darnell's Autobody, a local repair shop and junkyard, but as he spends more of his time working on the car, he discards his glasses, dresses more like a 1950s greaser, and develops an arrogant personality. Dennis investigates and learns of the car's dark past, that its obsessive previous owner and his wife both died in it and their daughter was choked to death inside the car, but Arnie does not know this. Arnie's new girlfriend, Leigh Cabot (Alexandra Paul), narrowly escapes her death when she is choking on a hamburger inside the car while on a date with Arnie.
Angry with Arnie after a shop class confrontation leads to his expulsion, school bully Buddy Repperton (William Ostrander) and his gang vandalize Christine. Arnie is devastated and determined to repair Christine. As he examines the ruined car, he hears the creaking of metal and notices the engine is now fully restored. Arnie tells the car, ""Show me."" Christine flips on its lights and restores itself to showroom quality, then, driving itself, seeks out the vandals. Moochie Welch (Malcolm Danare) is targeted first and chased down by Christine into an alley and is crushed to death. Richie and Don are caught in a gas station explosion (which sets Christine on fire); and Buddy is chased down a lonely road until he is run over and burned to death by the flaming car. Darnell (Robert Prosky), owner of the garage and junkyard where Arnie restored and keeps his Plymouth Fury, is murdered by Christine in the garage when he sits in the car and is crushed between the seat and the steering wheel. Rumors begin to spread about Arnie and the car, as state policeman Rudolph Junkins (Harry Dean Stanton) becomes suspicious of Arnie.
On New Year's Eve, Dennis and Leigh decide that the only way to stop Christine and save Arnie is to destroy the car. Dennis scratches ""Darnell's Tonight""—referencing the name of the junkyard—into Christine's hood, then makes his way there with Leigh. Dennis waits in a bulldozer while Leigh heads to the office so that she can shut the door after Christine arrives, trapping the car. Christine, who has been lying in wait the entire time, shines the headlights from under a pile of trash and charges after Leigh. Christine crashes into Darnell's office in an attempt to kill Leigh, and Arnie (revealed to have been driving the car himself) is thrown through Christine's windshield. He is impaled through a shard of glass and dies, reaching out to touch Christine one last time. Dennis and Leigh engage in a fight against Christine with the bulldozer. Christine continues to attack Dennis and Leigh, repeatedly sustaining damage and regenerating. Dennis pulls Leigh into the cab of the bulldozer; the two then smash Christine, driving back and forth over the car with the bulldozer as it mocks them by playing ""Rock and Roll Is Here To Stay"" over the radio until at last it is too shredded to regenerate again.
Dennis, Leigh, and Junkins survive and leave behind the remains of the car. The closing shot of the film is of Christine, now having been crushed into a cube by a car crusher, as a piece of the grille slowly begins to move and ""Bad to the Bone"" plays."
Night Plane from Chungking,"In 1942, during the Japanese invasion of China, due to the carelessness of one of the passengers, Albert Pasavy (Otto Kruger), draws attention from Japanese bombers overhead, to a bus travelling to India along a muddy road. The Japanese bomb the road, hitting a munitions truck carrying Chinese troops. The Chinese officer in charge, demands his wounded be put on the bus and brought to a secret air field. Among the stranded passengers met by U.S. pilot Nick Stanton (Robert Preston), are a beautiful Red Cross nurse, Ann Richards (Ellen Drew), and her traveling companion, Madame Wu (Soo Yong), who is on a secret diplomatic mission. There is also Countess Olga Karagin (Tamara Geva), who is caught spying.
Nick and his co-pilot, Captain Po (Victor Sen Yung), are ordered to fly the remainder of the passengers out to safety in India, but the transport aircraft is intercepted by Japanese fighter aircraft and shot down. Nick makes an emergency landing in a jungle. Over the radio, Nick learns that Olga has committed suicide, but the spy was trying to get top-secret information to her superior, who is still among the passengers.
Another of the passengers, Doctor Van der Linden (Stephen Geray), goes missing, but returns with food he claims comes from a nearby monastery. The doctor leads everyone on a long hike to the monastery, only to reveal there that he is a Nazi collaborator working with the Japanese. He demands to know where Olga is, not knowing she is dead. All the survivors are captured and held at the monastery.
It is up to Nick to try to come up with an escape plan. He convinces Van Der Linden to allow Po to repair the aircraft and to allow the hostages to be exchanged for Olga. A coded message is sent to Nick's headquarters, but the Nazi soon finds out that Olga is already dead. After Pasavy betrays the others and is coldly shot, Nick kills Van der Linden. With Japanese troops in pursuit, Major Raoul Brissac (Ernest Dorian) sacrifices himself to save the others by pulling the pin on a grenade, killing himself along with the Japanese. Nick, Po, Ann and Madame Wu then fly to safety. Having fallen in love, Nick and Ann vow to reunite after the war."
She Had to Say Yes,"Sol Glass (Ferdinand Gottschalk) owns a clothing manufacturing company struggling to survive in the midst of the Great Depression. Like his competitors, Glass employs ""customer girls"" to entertain out-of-town buyers. However, his clients have become tired of his hard-bitten ""gold diggers"" and have started taking their business elsewhere. Tommy Nelson (Regis Toomey), one of his salesmen, suggests that they use their stenographers instead. Glass decides to give it a try.
When buyer Luther Haines (Hugh Herbert) sees Tommy's secretary and fiancee, Florence ""Flo"" Denny (Loretta Young), he wants to take her out. However, Tommy manages to steer him to the curvaceous Birdie (Suzanne Kilborn) instead. Later, with Birdie sick, Tommy reluctantly lets Flo go on a date with another buyer, Daniel ""Danny"" Drew (Lyle Talbot). They have a nice time together, but she is shocked when she finds out Danny expects sex. A contrite Danny apologizes and tells her that he has fallen in love with her. He has to go on a business trip, but telephones and writes to her regularly.
Meanwhile, Flo's friend, fellow employee and roommate, Maizee (Winnie Lightner), shows her that Tommy is cheating on her with Birdie. She ends their engagement.
To keep her self-respect, Flo tells Glass that she will not go out with any more buyers. When he threatens to fire her, she quits.
Danny returns and takes Flo to dinner. Then, spotting Haines at another table, he asks her to help convince the last holdout to a merger to sign an important contract, the biggest deal of his life. She is disappointed by his request, but agrees to do it. She goes to dinner with Haines, but cleverly arranges with Maizee to have Haines' wife (Helen Ware) and daughter show up. Haines has to go along with the pretense that he is conducting business, and signs the contract.
When Haines later complains about Flo's methods, and claims that she and Tommy are living together, Daniel suspects that she is not as innocent as he believed, so he drives her out into the country to the mansion of his friends. Nobody is home, but he coaxes her inside and tries to force himself on her. Flo tries to get away, but finally stops resisting. However, when she asks him if that is all she means to him, Danny stops before anything happens. She leaves, only to run into Tommy, who had followed the couple. He also believes she is selling herself. Danny, overhearing their conversation, realizes that Flo is innocent, and forces Tommy to apologize. Danny begs her to marry him. After she whispers in his ear, he picks her up and carries her back into the mansion."
Pray TV,"Failing UHF TV station KRUD, Channel 17, is ""reborn"" as Christian television station KGOD. The new format is a big success but attracts an incompatible mix of fringe ministries and broadcasters wanting time on the station. A series of humorous vignettes show the different religious shows the station broadcasts: a faith healer, a radical black nationalist preacher, a preacher with a drive-in church, a Christian game show, etc.
The film is very similar in both plot and style to the 1989 film UHF.[2][3]"
The Wind,"An impoverished young woman named Letty Mason (Lillian Gish) travels west by train from Virginia to live at her cousin Beverly's isolated ranch in Sweetwater, Texas. On the way, she is bothered by the constantly blowing wind. Fellow passenger and cattle buyer Wirt Roddy (Montagu Love) makes her acquaintance and tells her the wind usually drives women crazy.
Upon arrival, she is picked up by Beverly's closest neighbors, Lige Hightower (Lars Hanson) and the older, balding Sourdough (William Orlamond), who live 15 miles from her cousin. Wirt assures her he will drop by occasionally to see how she is doing.
After endless miles in sand and wind, they arrive at the ranch. Beverly (Edward Earle) is delighted to see her, but his jealous wife Cora (Dorothy Cumming) gives her a cold reception, despite Letty saying she and Beverly (who was raised by Letty's mother) are like brother and sister. Cora is further angered when her children seem to like Letty better.
At a party, Sourdough tells Lige that he intends proposing to Letty. Lige explains he was planning to do the same. After Wirt drops by, a cyclone interrupts the festivities. Most of the guests seek shelter in the basement, where Wirt declares his love for Letty and offers to take her away from the dismal place. After the cyclone passes, Lige and Sourdough talk to Letty in private. When they flip a coin to see who will ask for her hand in marriage (Lige wins), Letty thinks it is just a joke.
Afterward, Cora demands that she leave Beverly alone and that she has to leave the ranch. Because she has neither money nor a place to go, she decides to go away with Wirt, but then Wirt reveals that he wants her for a mistress, informing her that he already has a wife. She goes back to Cora, who tells her to choose from her two other suitors. She marries Lige.
When Lige takes her home, he kisses Letty for the first time, but her lack of enthusiasm is unmistakable. Worse for the drink, he becomes more forceful, and this makes her tell him that he has made her hate him, which she did not want to do. Lige promises her he will never touch her. He states he will try to make enough money to send her back to Virginia. In the meantime, Letty works around the house, but is bothered by the ever present wind.
One day, Lige is invited to a meeting of the cattlemen, who must do something to avoid starvation. Letty, terrified of being left alone with only the wind for company, begs to go with him. He agrees. After she cannot control her horse in the fierce wind, he has her get on behind him on his horse. When she falls off, Lige tells Sourdough to take her home.
When the cattlemen return, they bring an unwanted guest, an injured Wirt. After he recovers, Lige insists he participate in a roundup of wild horses to raise money for the cattlemen. Wirt goes along, but later sneaks away and returns to Letty. Out of her mind with fear as she endures the house shaking from the worst wind storm yet, Letty faints soon after Wirt's arrival. He picks her up and carries her to the bed.[note 1]
The next morning, Wirt tries to persuade Letty to go away with him, but she rejects him. He insists, noting Lige will kill them both if they remain. As Wirt becomes more aggressive, Letty picks up a revolver to defend herself. Confident that Letty will not fire, Wirt grabs the gun and it goes off, killing him. Letty decides to bury him outside. After she is done, the wind uncovers the body, terrifying her.
When Lige returns, Letty is so glad to see him, she kisses her husband. She then confesses she killed and buried Wirt. When Lige looks outside, however, the corpse is nowhere to be seen. He tells Letty that the wind can remove traces when a killing is justified. He has enough money to send her away, but Letty declares she loves him and that she no longer wants to leave. She is no longer afraid of the wind."
South of Algiers,"Doctor Burnet (Portman), a scholar of ancient history at the British Museum, is obsessed with finding the legendary and priceless Golden Mask of Moloch, believed to be buried in the lost tomb of a Roman general somewhere in the Algerian desert. He plans his latest expedition of discovery, but lacks funds to pay for an archaeologist to accompany him. He learns from the museum curator that Nicholas Chapman (Heflin), an American author of popular archaeology books, is eager to go along and work without pay, on the understanding that he will be able to publish his experiences in magazine articles and book form. Burnet is dubious of Chapman's expertise and good-faith, but finally agrees to let him join the party.
Unknown to them, Burnet and Chapman are accompanied on their flight to Algiers by unscrupulous fortune hunter Petris (Charles Goldner) and his sidekick Kress (Jacques B. Brunius), who are just as keen to get their hands on the mask, but in their case purely for financial reasons. On arrival in Algiers, Burnet meets up with his daughter Anne (Hendrix) and her boyfriend Jacques (Jacques François), whose father is the curator of the local museum of antiquities. Chapman is attracted to Anne, but she finds his forwardness offputting. That evening, Chapman goes alone to a nightclub, where Kress homes in on him, plies him with drink and introduces him to a sultry belly dancer. After a very enjoyable evening, Chapman returns to his hotel room to find his belongings have been ransacked and his maps stolen.
The Burnet party sets out across the Sahara by camel and are beset by dangers including windstorms and attacks by hostile desert nomads. They finally reach the secret tombs, and narrowly escape with their lives when a roof collapses as they excavate. Petris and Kress show up and force Chapman to reveal the location of the tomb. They hatch a plan to kill Burnet and his party to claim the mask for themselves. However Chapman proves to be more than their match and saves the day.
With Petris and Kress taken care of, the mask is found safely. Anne realises that she has fallen in love with Chapman, while Jacques magnanimously concedes that they make a good pair. Burnet admits that he was wrong to doubt Chapman's credentials, and sets about transferring the mask safely to London."
The Norseman,"An 11th-century Viking prince sails to North America to find his father, who on a previous voyage had been captured by Indians."
Kings Row,"In 1890 in the small midwestern town of Kings Row, focusing on five children, Parris Mitchell, (who lives with his grandmother), Cassandra Tower, daughter of Dr. Alexander Tower, the wealthy and fun-loving orphan Drake McHugh, Louise Gordon, daughter of the sadistic town physician Dr. Henry Gordon, who has been known to perform operations without anesthetic, and the tomboy Randy Monaghan, whose father, Tom, is a railroad worker.[7]
Parris is attracted to Cassandra, whom the other children avoid because her family is ""strange"": her mother is confined to the house and never seen. Dr. Tower takes Cassie out of school, and she is confined at home. Parris does not see her again until years later, when he begins his medical studies under Dr. Tower's tutelage.[7]
Parris' best friend, Drake, intends to marry Louise despite the disapproval of her father. Louise, however, refuses to defy her parents and will not marry him. Parris and Cassie begin a secret romance, seeing each other at Drake's house. Parris' grandmother becomes ill from terminal cancer and dies as he is about to go overseas to Vienna for medical school. Parris, who decides to study psychiatry, proposes marriage to Cassie. She initially resists, running away, but later comes begging him to take her with him to Vienna. She then runs away again, back home.[7]
Parris learns that Dr. Tower has poisoned Cassie and shot himself, and has left his estate to him. He learns from Dr. Tower's notebook that he killed Cassie because he believed he saw early signs that she might go insane like her mother, and he wanted to prevent Parris from ruining his life by marrying her, just as Tower's life had been ruined by marrying Cassie's mother.[7]
While Parris is in Vienna, Drake's trust fund is stolen by a dishonest bank official. Drake is forced to work locally for the railroad, and his legs are injured in a boxcar accident. Dr. Gordon amputates both of his legs. Drake, who had been courting Randy before the accident, marries her but is now embittered by the loss of his legs and refuses to leave his bed. They start a business with Parris' financial help, building houses for working families. When Parris suggests they move into one of the homes they've built, away from the railroad tracks and sounds of the trains that plague Drake, he becomes hysterical and makes Randy swear to never make him leave the room.[7]
Parris returns from Vienna to Kings Row and decides to remain there, when he learns that Dr. Gordon has died, leaving the town with no doctor. Louise reveals that her father amputated Drake's legs unnecessarily, because he hated Drake and thought it was his duty to punish wickedness. Parris at first wishes to withhold the truth from Drake, fearing it will destroy his fragile recovery. He considers confining Louise to a mental institution, even though she is not insane, to prevent the truth from being revealed to Drake and other victims of her father. He is instead persuaded by his new friend Elise to treat Drake like any other patient rather than his best friend and tells Drake what happened. Drake reacts with defiance and summons a renewed will to live instead of the deep clinical depression Parris had feared. Parris is now free to marry Elise, having helped his old friend return to a productive life.[7]"
My Gal Sal,"Sally Elliott (Rita Hayworth), a musical star meets up with Indiana boy Paul Dresser (Victor Mature), a runaway who after a brief stopover with a medicine show arrives in Gay Nineties New York. He composes the title tune for the fair lady and becomes the toast of Tin Pan Alley.[4]"
The Donovan Affair,"After the lights go out at a fancy party, Jack Donovan (John Roche) turns up dead. Inspector Killian (Jack Holt) is called to the scene. As part of the investigation, he calls for a re-enactment of the events leading up to the murder. The lights go out, and another person turns up dead. Inspector Killian again calls for a re-enactment.[2][3]"
Inglourious Basterds,"In 1941, SS colonel Hans Landa interrogates French dairy farmer Perrier La Padite as to the whereabouts of the last unaccounted-for Jewish family in the area. In exchange for the Germans agreeing to leave his family alone for the rest of the war, La Padite reveals that the Dreyfus family is hidden under the floor. Landa orders SS soldiers to shoot through the floorboards. The family is killed except for Shosanna, a young woman who escapes.
Three years later, Lieutenant Aldo Raine of the First Special Service Force recruits Jewish-American soldiers to the Basterds, who spread fear among the German soldiers by killing and scalping them. The Basterds also recruit sergeant Hugo Stiglitz, a German soldier who murdered thirteen Gestapo officers. Adolf Hitler interviews a German soldier, Private Butz, the only survivor of a Basterd attack on his squad. Raine carved the Nazi swastika into Butz's forehead with a knife so he could never hide that he served in the German Heer.
Shosanna is operating a cinema in Paris under an assumed name. She meets Fredrick Zoller, a German sniper who killed 68 soldiers in a single battle; Zoller is to star in a Nazi propaganda film, Stolz der Nation (Nation's Pride). Infatuated with Shosanna, Zoller convinces Joseph Goebbels to hold the premiere of the film at her cinema. Shosanna plots with her projectionist and lover, Marcel, to kill the Nazi leaders attending the premiere by setting the cinema ablaze.
Unknown to Shosanna, British Intelligence Corps Lieutenant Archie Hicox is also planning an attack at the premiere with the Basterds. Hicox goes to a tavern with Hugo Stiglitz and Basterd Wilhelm Wicki to meet an undercover agent, the German film star Bridget von Hammersmark. Hicox draws the attention of Wehrmacht Sergeant Wilhelm and Gestapo Major Dieter Hellstrom with his unusual accent, and eventually gives himself away by ordering three drinks and gesturing ""three"" with his index, middle and ring fingers, as opposed to the German way with the thumb, index and middle fingers. Covers blown, the men engage in a brief firefight, which leaves only Sergeant Wilhelm and an injured Hammersmark alive. Raine arrives and negotiates with Sergeant Wilhelm for Hammersmark's release. Wilhelm agrees to release Hammersmark, but is shot by her when he lowers his guard. Suspicious, Raine briefly tortures Hammersmark before she gains his trust, and informs him that Hitler will be attending the film premiere, prompting him to decide to continue the mission despite the death of all German speaking Basterds. Meanwhile, Landa investigates the aftermath at the tavern and finds one of Hammersmark's shoes and a napkin with her signature.
At the premiere, two of the Basterds, Donny Donowitz and Omar Ulmer, join Raine in posing as Italians, hoping to fool the Germans unfamiliar with the language. Landa, who speaks fluent Italian, converses and quickly sees through their cover, but sends Donowitz and Ulmer, who are strapped in dynamite, to their seats without exposing them. Landa takes Hammersmark to a private room where he verifies that the shoe from the tavern fits her, then he strangles her to death. He arrests the remaining two Basterds, Raine and Smithson ""The Little Man"" Utivich. Landa has Raine contact his superior with the OSS and cuts a deal: he will allow the mission to proceed in exchange for immunity from his war crimes and other rewards.
During the screening, Zoller slips away to the projection room to see Shosanna. After she rejects his advances, he becomes aggressive. She pretends to acquiesce, then pulls a pistol from her bag and shoots him. As Zoller lies on the floor, mortally wounded, Shosanna turns back to the projection and watches Zoller's film, in which he is being portrayed as a brave war hero. Remorseful, Shosanna moves to embrace Zoller, who raises his pistol in response and shoots her before they both die. As Stolz der Nation reaches its climax, it cuts to spliced-in footage of Shosanna telling the audience that they are about to be killed by a Jew. Marcel, having locked the doors of the auditorium, ignites a pile of flammable nitrate film behind the screen as Shosanna's image laughs. Ulmer and Donowitz break into the box containing Hitler and Goebbels, killing them, then fire their submachine guns into the crowd until their dynamites go off, killing everyone in the theater. Landa and his radio operator drive Raine and Utivich into Allied territory, where they surrender. Raine shoots the radio operator and carves a swastika into Landa's forehead."
Final Analysis,"Isaac Barr is a top-notch, San Francisco-based Freudian psychiatrist, who has Diana Baylor on the patient's couch. He is treating her for frightening and horrific childhood memories, which include images of her drunken father and his death in a fire for which she wasn't blamed.
One night, Heather Evans enters Barr's office and says that she is Diana's sister. She asks Barr for information about her sister's case. It is implied, as part of the treatment, that Isaac speak to Heather to find out more about her sister's past experiences and determine if she might provide information that Diana has forgotten.
Not long after, Heather seduces Isaac, and a steamy affair follows. However, there is a problem—Heather is married to Jimmy Evans, a violent and wealthy Greek gangster. She also has a way of embarrassing Jimmy in public by taking a sip of wine and then flipping into an attack of ""pathological intoxication"", which can end with the restaurant in shambles.
It turns out that Heather is trying to involve unsuspecting Isaac in a plan to murder Jimmy and collect a $4 million double indemnity life insurance policy on him. She is also using Diana as bait and wants Isaac framed for the murder."
Way Out West,"Windy, a sideshow barker, cheats a group of cowboys out of their pay, but is then robbed himself. When the cowboys discover they have been cheated, they initially decide to hang him, then decide to make him work off his debt. He falls in love with ranch owner Molly, and when he saves her life after she is bitten by a rattlesnake, he wins her heart.[2]"
Scissors,"Angela Anderson (Stone) buys a pair of large scissors from a hardware shop. On her way home she is attacked in the elevator of her apartment block by a red-bearded man, who she stabs with the scissors in self-defense. Immediately after the attack Angela is found by twin brothers (both played by Railsback) who live next door to her. The first brother Alex is the star of a successful soap opera, whereas the other, Cole, is a wheelchair-bound artist. An attraction develops between Angela and Alex, which is constantly restrained by Angela's sexual repression. Hypnotherapy sessions with her psychiatrist Dr. Steven Carter (Cox) reveal a red-bearded man named Billy in Angela's past, a startling coincidence to her recent attack.
Following her attack in the elevator, the increasing attention from Alex, and the fear of Cole she develops, Angela's sheltered world starts to fall apart. After another encounter with her red-bearded attacker, and harassment from Cole, Angela finds herself lured with the prospect of a job to a large and mysterious apartment where she finds herself trapped.
In the master bedroom, Angela finds the body of her red-bearded attacker, who has been murdered with the same pair of scissors she bought earlier. The only other living thing in the apartment with her is a caged raven, who caws repeatedly that Angela killed him. As Angela explores the apartment, she finds it is full of exhibits relating to her own psychology, it is clear at this point that someone wants to drive Angela into insanity.
Meanwhile, Alex has discovered that Angie is missing and while trying to discover her whereabouts, his brother Cole suddenly stands up from his wheelchair, attacks Alex, and then mysteriously leaves.
After many failed escape attempts Angela takes the raven from its cage, ties a message to its leg and, using the blood-stained scissors to remove a vent cover, releases the raven into an air vent. Angela wakes up the following morning to find that the body of her attacker has been moved to the dining room, and the mutilated corpse of the raven sits on a plate before it. The sight of this causes Angela to collapse in shock where she experiences a childhood flashback. In the flashback, her red-bearded stepfather Billy is murdered by her mother with a pair of scissors before her eyes - the horror being the root of her repression.
The next day the apartment is visited by Dr Carter's wife, who is having an affair with the owner. She arrives to find her husband waiting for her, disguised in a red beard, revealing that he was Angela's attacker. He reveals to his wife that when he learned of the affair, he murdered her lover with a pair of scissors and had set Angela up to take the fall by luring her to the apartment, and exploiting what he had discovered about her past during hypnotherapy sessions. Carter convinces his horrified but politically ambitious wife to go along with the frame, and they set out to find the scissors used in the murder, since they may be used as evidence against him. While wandering in a trance-like state, Angela ventures through the main door (carelessly left open by Carter), closing it behind her and trapping Carter and his wife inside. Dr. Carter attempts to lure Angela back by posing as Billy, to no avail.
Outside Angela is rescued by Alex, who had tracked her to the apartment's address. A trapped Carter bangs the scissors furiously against the glass of the window, as a liberated Angela looks back with a vengeful smile."
Cue Ball Cat,"Tom is playing pool in a billiard hall, pocketing (potting) two object balls by physically moving the table and a side pocket (cheating). Tom then wakes up Jerry (asleep inside the table, under a pocket opening) by pocketing the 10 ball, which rolls Jerry to the ball-return before the 10 and 13 balls squash Jerry between them. Jerry walks up through the pocket, but spots Tom perched behind it.
Jerry tries to jump into another corner pocket, but Tom hits a cue ball at Jerry with so much force that it rolls and spins backwards to Tom; Jerry slides up Tom's cue stick before Tom blows him down. Tom then shoots a stream of balls to flatten Jerry before the balls rebound back towards Tom with Jerry on them and stack up at the end of the table. Tom hits the balls in succession with his cue; Jerry hangs onto the cue tip, but Tom rubs chalk on Jerry and shoots him at the 8 ball.
Jerry becomes dizzy and is upended by the 8 ball, which rolls in circles. Tom forces Jerry to jump through a ball rack, even setting it on fire, before discarding the flaming rack and shooting the 8 ball across the table, which rebounds and hits Jerry, giving the mouse the ""8"" mark printed on his rear end, like a tattoo. Enraged, Jerry flings Tom's cue stick into his face.
Tom throws the 8 ball at Jerry, but Jerry ducks, and the ball bounces back into Tom's face. Tom then throws the 8 and 6 balls, but Jerry uses his cue stick like a baseball bat to hit them back into Tom's eyes, knocking Tom down (""86-ing"" him). Tom puts on a baseball glove and throws the 10 ball like a baseball pitcher, which is returned with such force that it punches a hole through Tom's glove. Tom then pitches the 1 ball, and Jerry breaks his cue/bat returning it. Tom, dashing through the pool hall to catch it, stretches backwards and barely catches the ball, but due to its momentum and the cat's unbalanced posture, Tom is pulled into a soft drink dispensing machine and spat out in the shape of a drink bottle.
Jerry then dives into a corner pocket. Tom gropes through the pocket to find Jerry, but grabs his own tail, pulling himself through the pockets. Tom then sticks a hose down the holes, sweeping Jerry up, and swings a mechanical bridge (rest) to hit Jerry, but Jerry, latching onto the end, climbs up onto a scoring wire and steals the bridge. Jerry uses the bridge as a tightrope walking balance stick, but Tom throws two cues, like spears, at Jerry. The first hits the wire dead centre and splits in two (with circular saw sound effects), but the second scrapes Jerry's rear to an alarming red friction burn. Angry, Jerry then shoots the mechanical bridge into Tom's mouth, using the wire like a bow string.
Jerry then runs away as Tom shoots a stream of balls at him, which chase Jerry in and out of various pockets on their own accord, until Jerry jumps on Tom and opens his mouth, causing Tom to swallow all seven balls. Jerry then flees into a corner pocket, and Tom pokes his cue through it, but Jerry attaches a hatpin to the tip of the cue as it curves out another pocket and back toward the unsuspecting Tom. Tom thrusts the cue into the pocket hard, and the pin strikes his backside, causing Tom to rise yelling in pain and then fall into the corner pocket, with his head sticking out. Jerry then tidies the rack, with all fifteen balls inside it, and hits them all. The balls all fall into holes – a trick shot – except for the 1 ball, rolling toward the trapped Tom; the mouse whacks Tom's head with the cue such that Tom screams and ends up swallowing the ball, as the cartoon ends"
Merry Andrew,"Andrew Larabee teaches at a school run by his headmaster father Matthew, a traditional man who disapproves of his son's unconventional methods despite their popularity with the students. Andrew's special interest is archaeology, and he hopes to earn his father's respect through this field of study.
During the school holidays, Andrew bicycles to ancient ruins in Sussex where he believes a statue of Pan (which had been left behind by a Roman legion) can be found. Such a discovery would enable him to publish and subsequently wed Letitia Fairchild, his fiancée of five years, who insists he earn a promotion before she marries him. At the site he encounters the Gallini family traveling circus, which has been ordered to pack up and leave by the local police since the land is now property of dairy farmer Lord Elmwood. The five Gallini brothers and their cousin Selena mistake Andrew for a contractor, and when he tells them he doesn't mind if they remain, the Gallinis halt their ""pulling up stakes"". Lord Elmwood arrives and threatens to remove both Andrew and the circus, but Andrew realizes he's a former fellow Oxford University student with a checkered romantic past. Chastened by Andrew’s subtle threat of blackmail, Lord Elmwood agrees to give Andrew and the Gallinis a week before he starts construction on the land.
Shortly after he has begun his excavations, Andrew discovers an underground tunnel on the site and burrows through its ceiling and directly into the middle of the lion act during a performance. His amusingly masterful way with the animals impresses Selena, who tells him he is a born entertainer, and she teaches him to juggle. With ringmaster Antonio suffering from laryngitis, Andrew is coaxed into replacing him at the matinee. Unfortunately, Letitia and Andrew's brother Dudley arrive to check on Andrew's progress and decide to attend the circus, so Andrew is disguised as Antonio. Due to needing a lot of padding to fit into Antonio's clothes, Andrew is given a RAF safety life jacket with a whistle, smoke and emergency flares — all of which cause havoc in mid-speech and marking Andrew as a natural clown.
After the performance, Selena is overcome with jealousy at the sight of Andrew and Letitia together, and later follows Andrew into the tunnel. Andrew does some more digging, inadvertently causing a cave-in which traps both of them overnight. The following morning, Angelina the chimpanzee, who is tied to a stake by a rope, attempts to get a banana which has been thrown to her out of her reach. As Angelina pulls on the rope, the stake moves, causing the earth around it to collapse and revealing Andrew and Selena. When Antonio and his sons discover them, they accuse Andrew of improper behavior with their Selena and, to save the family honor, insist the two wed on the following Saturday.
Angelina the chimpanzee then finds the Pan statue Andrew was seeking and conceals it in her cage. Andrew convinces Selena his obligations at school override their wedding plans and he returns home, where he discovers his father has promoted him and Letitia is ready to accept him as her husband — with their marriage having also been set to take place on the following Saturday. On the night before the ceremony, Selena brings Andrew the statue of Pan which Angelina had given to her.
Because Andrew's class has performed well in their last test, the Headmaster has promised them a treat. However, when the boys choose to go to the Gallini Circus, which is due to arrive, Andrew refuses to take them there. So the boys disappear on the day of the wedding, and Andrew tracks them back to the circus. His father and brothers discover the statue of Pan, and Dudley mentions that a circus was in the field in which Andrew was searching for Pan. Accompanied by Letitia and her father, Andrew's father and brothers follow him to the circus where they find Andrew being chased by the Gallini brothers. When Andrew is confronted by two upset families, he finally clears things up and admits that he loves Selena.
Following the wedding ceremony, Andrew and Dudley leave the church arm-in-arm with Letitia. After the happy couple - Dudley and Letitia - drive away on their honeymoon, Matthew gives his blessing to Andrew, saying that Andrew was carrying on a fine family tradition (one of their ancestors, Thomas Larabee, had been a jester in the court of King James the First). A very happy Andrew then leaves with his bride-to-be Selena and the equally happy members of the Gallini family."
