IncidentDateTime,City,IncidentState,Country,Shape,DurationSeconds,Comments
2013-10-05 20:14:00.000,seoul (south korea),,,oval,1200.00,12 UFOs spotted hovering North of Seoul before speeding off North into restricted airspace.
1986-10-06 00:20:00.000,janico (santiago) (dominican republic),,,circle,120.00,The craft stood directly above the center of the town&#44 the most vivid assortment of lights.  In the blink of an eye&#44 it dissappeared&#44 l
1992-10-06 13:00:00.000,prishtina,,,circle,20.00,Orange Circle
2000-10-06 03:45:00.000,almelo (netherlands),,,triangle,10.00,3 People seeing 2 wild moving silent triangular shaped crafts surrounded in a orange halo of light&#33&#33&#33
2000-10-06 22:00:00.000,uk/england,,,triangle,60.00,RED TRIANGLES&#44 WHITE SPOTS--------VERY FAST&#33&#33&#33&#33&#33
2002-10-06 00:00:00.000,bladel (brabant) (netherlands),,,light,2700.00,Report from the Dutch news
2004-10-06 00:00:00.000,japan,,,other,120.00,LARGE&#44 WHITE UNMOVING CRAFT - POSSIBLY DAMAGED
2008-10-31 01:30:00.000,mendota,va,us,sphere,18000.00,Sighting of an anomalous object for 5 hours.  ((NUFORC Note:  Probably a sighting of Sirius&#44 I suspect.  PD))
2008-10-31 02:00:00.000,hialeah,fl,us,changing,30.00,((HOAX??))  An air plain flying on top of the ufo.
2008-10-31 02:00:00.000,jeffersonville,in,us,disk,3600.00,Bright&#44 flashing object see overhead in Jeffersonville.
2008-10-31 02:30:00.000,flemingsburg,ky,us,triangle,60.00,triangular&#44 flat&#44 with orb shaped compartment in the back of the craft
2008-10-31 07:34:00.000,aurora,oh,us,oval,1140.00,On October 31&#44 2008&#44 we think we have found a possible oval ufo.  ((NUFORC Note: Sirius??  PD))
2008-10-31 08:30:00.000,franklin,tn,us,triangle,120.00,Black triangular&#44 round or rectangular object in broad daylight or sunset.
2008-10-31 15:00:00.000,ovid,mi,us,sphere,15.00,Sphere shaped object flying at an incredible speed during the day
2008-10-31 16:30:00.000,cambridge,ma,us,light,60.00,Maybe nothing&#44 maybe something?
2008-10-31 18:00:00.000,spokane,wa,us,changing,360.00,After 10 minutes there was no sign of the object in any direction from where we first observed it.
2008-10-31 18:53:00.000,moline,il,us,circle,240.00,Two seperate orbs pass slowly over my house.
2008-10-31 19:00:00.000,lower burrell,pa,us,fireball,60.00,circular flaming craft&#44  vanished after 1 minute
2008-10-31 19:00:00.000,wakefield,ri,us,flash,1.00,Bright&#44 white flash
2008-10-31 19:30:00.000,kingman,az,us,light,1200.00,Three small green lights moving across Kingman&#44 AZ.
2008-10-31 19:50:00.000,springfield,or,us,fireball,600.00,Orange Glowing Ball Over Springfield Oregon Moving NW to SE Across The City
2008-10-31 20:00:00.000,valrico,fl,us,light,120.00,Strange Light In The Sky
2008-10-31 20:01:00.000,brecksville,oh,us,triangle,120.00,Triangle craft in clearing at Cuyahoga Valley National Forest
2008-10-31 20:15:00.000,o&#39fallon,mo,us,light,180.00,2 orange lights travelling in a loose formation West to East about 20 degrees above the horizon
2008-10-31 21:00:00.000,roswell,ga,us,sphere,300.00,Pulsating/Oscillating Sphere or Orb spotted in Metro Atlanta.  ((NUFORC Note:  Possible sighting of Venus??  PD))
2008-10-31 21:05:00.000,orange,ca,us,unknown,600.00,Lights over Orange&#44 Ca
2008-10-31 21:50:00.000,hibbing,mn,us,egg,1.50,object  seen in hibbing&#44 mn traveling west faster than any plane or comet and much lower than a shooting star and brighter than an airp
2008-10-31 22:00:00.000,fenton,mo,us,sphere,1800.00,Saw three streaks in sky to right. Looked up saw three orange spheres heading toward St. Louis (but could see outer edges of round tria
2008-10-31 22:00:00.000,los angeles,ca,us,fireball,8.00,Green fireball moving very low across the sky&#44 throwing off sparks like fireworks.
2008-10-31 22:40:00.000,hermosa beach,ca,us,triangle,600.00,Two lighted objects dancing in the sky above Los Angeles on Oct. 31&#44 2008
2008-10-31 22:46:00.000,south gate,ca,us,fireball,2.00,Driving north on 710 before Atlantic Blvd&#44 fireball (shooting Star?)straked across sky Northwest&#44 streaks of blue&#44green&#44yellow high rat
2008-10-31 23:00:00.000,erie,pa,us,oval,5.00,I saw something I&#39m not sure what it was when getting in my van&#44 as I was getting ready to take my wife to work.
2008-10-31 23:25:00.000,anderson,in,us,fireball,900.00,Nine glowing objects seen over my house in Anderson Indiana
2008-10-31 23:30:00.000,farragut,tn,us,light,10800.00,Bouncing Lights in the sky
2009-10-31 11:15:00.000,belen,nm,us,formation,900.00,Observed 4 light formation blinking red/green at a frequency of 1 per second approx 20 miles ESE of belen nm altitude approx 10000 ft.
2009-10-31 18:00:00.000,chesterton,in,us,circle,60.00,Bright orange ball moving slowly
2009-10-31 19:00:00.000,indianapolis,in,us,fireball,60.00,Orange &quot;flaming&quot; light rising&#44 then abruptly changing directions and slowly disappearing in the horizon.
2009-10-31 19:20:00.000,chicago,il,us,fireball,600.00,Bright orange colored UFO in Chicago
2009-10-31 19:35:00.000,camas,wa,us,circle,600.00,Bright orange circular object moving across sky
2009-10-31 20:00:00.000,omaha,ne,us,sphere,180.00,Strange orange orb on 10/31
2009-10-31 20:00:00.000,springville,ca,us,triangle,600.00,Three bright lights over springville
2009-10-31 20:30:00.000,hastings,mn,us,oval,10.00,Small fast moving Cloud like looking UFOs > Moving in same direction at same fast speed.
2009-10-31 21:30:00.000,santa monica,ca,us,triangle,300.00,V shaped formation with orange lights hovers over area and then seemingly vanishes
2009-10-31 22:00:00.000,corpus christi,tx,us,oval,120.00,Three circular outlines made of red lights; two drifted away in different directions&#44 one lingered and then left.
2010-10-31 01:23:00.000,westland,mi,us,triangle,5.00,Possible Metro Detroit U.F.O.
2010-10-31 01:25:00.000,college station,tx,us,disk,7200.00,Orange glowing crafts seen over College Station&#44 Tx
2010-10-31 05:15:00.000,las vegas,nv,us,rectangle,3600.00,Noticed a bright white light moving across the sky in the north/northwest sky of Las Vegas&#44 Nevada.  It appeared high in the sky.  It w
2010-10-31 07:30:00.000,jupiter,fl,us,oval,180.00,On October 31st @ 7:30 pm I locked my truck in my driveway and turned to go back in the front door. I gazed up at the sky and noticed w
2010-10-31 12:41:00.000,philipsburg,pa,us,circle,4.00,Night observation of bright&#44 white circular light descending soundlessly in straight path from sky toward the ground.
2010-10-31 17:00:00.000,roselle,il,us,NULL,900.00,cylinder  shaped flying steady like a hawk on top of my dad&#39s house.
2010-10-31 18:06:00.000,oak lawn,il,us,light,360.00,((HOAX??))  I bet it was that Chupacabra from the 80&#39s that I saw flying this want to be Dish UFO
2010-10-31 19:00:00.000,pittsburgh,pa,us,fireball,60.00,glowing fireball seen in the sky over Pittsburgh&#44 PA
2010-10-31 19:15:00.000,cincinnati,oh,us,fireball,240.00,Four reddish-orange lights traveling slowly across the sky in Cincinnati&#44 OH
2010-10-31 19:30:00.000,jupiter,fl,us,oval,180.00,We saw a questionable object in the sky?
2010-10-31 19:30:00.000,northridge,ca,us,triangle,15.00,rounded &#8220;boomerang&#8221; shape of about seven or nine dark circles moved slow and absolutely quiet
2010-10-31 19:53:00.000,o&#39fallon,mo,us,changing,540.00,Bright white light seen from a distance over O&#39fallon&#44 Mo. gradually changed shapes. After slow hesitation...disappeared quickly&#33
2010-10-31 20:30:00.000,monroe,ct,us,fireball,6.00,Green fireball with tail seen traveling Southeast. After about 6 seconds it was gone
2010-10-31 20:30:00.000,mooresville,nc,us,light,600.00,Two slow moving bright orange orb shaped lights
2010-10-31 21:34:00.000,holiday,fl,us,unknown,120.00,Glowing red light in the sky that moved rapidly upwards at very highspeeds and disappeared over the Gulf of Mexico in Holiday&#44 Florida.
2010-10-31 21:50:00.000,stayton,or,us,changing,900.00,A cylindrical&#44 than triangulat object floating in the sky with many different colors of light flickering&#33&#33&#33
2010-10-31 22:15:00.000,dunsmuir,ca,us,circle,30.00,Big&#44 bright light that left tracers behind it&#44 which abruptly stopped in the sky until it later blinked out of sight.
2010-10-31 23:30:00.000,cambridge,oh,us,formation,300.00,line of strange blinking lights over eastern Ohio sky
2010-10-31 23:50:00.000,bardstown,ky,us,chevron,900.00,Chevron shaped craft
2011-10-31 00:00:00.000,hardshell,ky,us,light,60.00,Orange lights.
2011-10-31 00:15:00.000,colorado springs,co,us,formation,3600.00,Firework type of formation hovering south of Pike&#39s Peak
2011-10-31 06:45:00.000,torrance,ca,us,rectangle,300.00,Early morning Sighting in Torrance CA from 110 Fwy Pulsing Stationary object
2011-10-31 08:30:00.000,monroe,mi,us,fireball,240.00,Me and my fiancee were out side taking down are holloween decorations and she was throwing something away in the garabage at curb.She y
2011-10-31 19:00:00.000,dover,nh,us,triangle,10.00,Bright triangular object quickly disappeared.  10 second view.
2011-10-31 19:00:00.000,parma,oh,us,light,60.00,Halloween lights over Parma Ohio
2006-10-06 19:00:00.000,fes (morocco),,,circle,120.00,Looking off balcony at night sky curious because of what I had witnessed in recent days.  Noticed small streak of light like falling st
2008-10-06 20:00:00.000,cuernavaca (mexico),,,flash,10.00,Two star-like objects sighted in Cuernavaca&#44 Mexico&#44 one flashed and then both disappeared.
1973-10-07 21:00:00.000,beruit (lebanon),,,unknown,900.00,Iwas serving aboard the U.S.S. Mount Whitney&#44 during the October War between Israel&#44 Egypt&#44 and Seria. I was a radarman&#44 and I reported
1984-10-07 19:00:00.000,chigwell essex (uk/england),,,other,15.00,High Altitude RED fast moving (later violently manouvering) oval/ bean shaped object Essex UK
1989-10-07 00:00:00.000,libya,,,circle,60.00,A bright red circle shaped object that was moving straight and zigzaging.
2002-10-07 11:00:00.000,pelarco (chile),,,diamond,420.00,An object triangle shape that shine and have different speeds and directions.
2004-10-07 11:30:00.000,harlow&#44 essex (uk/england),,,sphere,30.00,Craft vanishes after crossing the path of an aeroplane.
2004-10-07 12:45:00.000,malmesbury,,,oval,60.00,Malmesbury Aliens in Somerfield Area
2005-10-07 09:00:00.000,kirby bellars (leicstershire) (uk/england),,,other,20.00,star shape low flying fast
2007-10-07 21:00:00.000,haren (netherlands),,,light,1200.00,7 orange star-like objects moving slowly
2009-10-07 18:40:00.000,port louis (mauritius),,,light,180.00,A flying orange light at dusk moving southwards. It stopped for a while before moving up and disappeared in the pale blue dusk sky.
2012-10-07 22:30:00.000,meath (ireland),,,circle,1800.00,7 circle shaped objects flashing lights flying in the sky compacted together then seperated
1993-10-08 19:00:00.000,gampola (sri lanka),,,light,3600.00,We saw one red light and five strange creatures on the mountain top.
1994-10-08 11:30:00.000,kalletal (germany),,,light,600.00,4 coloured lights in triangle shape
2000-10-08 23:50:00.000,ramat gan (israel),,,fireball,3600.00,Balls of light in the sky of Israel.
2001-10-08 21:00:00.000,heredia (costa rica),,,other,6.00,I saw an object shaped like a butterfly&#44 with flapping wings or layers&#44 coming down and sharply made a u-turn upwards. It was just abov
2001-10-08 23:55:00.000,zalka (lebanon),,,circle,600.00,UFO spotted over Lebanon.
2002-10-08 19:02:00.000,kota kinabalu/sabah (malaysia),,,other,180.00,US training in Borneo islands or just another strange sights&#33&#33&#33&#33
2005-10-08 13:00:00.000,sarajevo (bosnia),,,disk,3040.00," ((NUFORC Note:  We are awaiting additional information.  PD))  http://www.sartelcom.net/ET/ufo_nlo/ufo_nlo_sarajevo.html"
2005-10-08 23:50:00.000,sigulda (latvia),,,triangle,1.00,We were sitting in  jacuzzi located in the backyard an whathing stars. First two flying objects seemed as a falling stars but after som
2006-10-08 21:03:00.000,split (croatia),,,disk,1.00,((HOAX??))  UFOs over Split&#44 Croatia - 8 October 2006
1988-10-09 21:00:00.000,bridgend,,,disk,900.00,The experience was not frightening&#44 it was a beautiful craft that we saw and if it were to come back then it would be great&#33
1992-10-09 19:49:00.000,eastern usa,,,other,41.00,Fireball meteor impacts a car with license plate carrying a message just before NASA begins HRMS project..
2003-10-09 02:15:00.000,kista (sweden),,,circle,3.00,2 flying objects appearing in two diffrent locations in the sky and both flying with incredible speed.
2003-10-09 19:10:00.000,toulouse (france),,,light,900.00,A bright light could be seen in the sky&#44 it divided into 2 smaller lights that moved appart.
2007-10-09 02:30:00.000,canvey island (uk/england),,,other,73800.00,amazing pictures in the sky of a 100% ufo what else could it be? i believe i believe i believe
2013-10-09 05:35:00.000,oltenita (calarasi) (romania),,,circle,7200.00,Light on sky.
2013-10-09 21:15:00.000,gillingham,,,diamond,900.00,Was me and my son.I was closing bedroom curtain nd like usually like to look out at sky for stars I then  saw a few stars twinkling in
2013-10-09 21:15:00.000,gillingham,,,diamond,900.00,Was me and my son?I was closing bios bedroom curtain nd like unusually like to look out at sky for stars I then  saw a few stars twinkl
1978-01-10 16:00:00.000,gateshead&#44tyne &amp; wear (uk/england),,,other,120.00,Huge aeroplane/no sound travelling overhead
1978-01-10 20:00:00.000,walberswick suffolk (uk/england),,,disk,7200.00,Saw flying saucer with coloured lights in 1978 and then a different craft in 1979.
1988-01-10 21:30:00.000,bellside/wishaw (uk/scotland),,,sphere,120.00,large pink luminous globe &#44bright flare close too moved at very low level silently
2003-01-10 20:30:00.000,paramaribo (suriname),,,triangle,45.00,I saw somting last night&#44 when i was stargazing  . I live in south amerika&#44 in the neigberhood of the capitole and have a big yard 20 a
2004-01-10 23:00:00.000,guatemala,,,light,10800.00,in guatemala city the whole city saww it and lasted 3 hours the news broadcast got it on tape is a good tape it proofs it there were fl
2005-01-10 06:30:00.000,shavat (uzbekistan),,,light,30.00,I spotted a green light speeding in all directions in the skies of Uzbekistan.
2006-01-10 00:00:00.000,srinagar&#44 kashmir (india),,,circle,180.00,A rotating circular and saucer shaped object changing colour with falshing lights and fast coming down towards the earth.
2007-01-10 18:12:00.000,helsby&#44 cheshire (uk/england),,,formation,20.00,A Groupd of Dark objects moving rapidly across the evening sky.
2008-01-10 21:50:00.000,rishton/blackburn&#44 lancashire (uk/england),,,unknown,2.00,Bright light moving in the sky
2009-01-10 00:00:00.000,islamabad (pakistan),,,circle,10.00,((HOAX))  saw a ufo that flyed over the house and a hill
2010-01-10 21:05:00.000,uk/england,,,circle,900.00,This craft new what it was doing
2014-01-10 16:30:00.000,pendle (uk/england),,,light,900.00,A light hovered down the hill at a ridiculous speed.
2000-11-10 00:05:00.000,walton on thames surrey (uk/england),,,unknown,300.00,Shimmering red and blue stayed dead still&#44 disappeared getting smaller
2000-11-10 00:20:00.000,nasik (india),,,unknown,1200.00,We were going for an exploratry drive&#44 as we&#39d arrived in the city on that day itself. My 17 year old cousin&#44 my best friend and I were
2002-11-10 01:00:00.000,vilnius (lithuania),,,unknown,1200.00,Strange thing in the night skies of Lithuania
2002-11-10 20:30:00.000,queensland (australia),,,unknown,90.00,large light shot over sky.  Grew smaller and then disappered.  Didn&#39t match any  other thing I&#39ve ever seen before.
2002-11-10 22:55:00.000,southmore&#44 oxforshire (uk/england),,,light,1.00,Flash of  billiant large white light  Oxfordshire
2005-11-10 18:30:00.000,accra (ghana),,,other,5.00,Bright round&#44 orange glowing&#44 then changed to a bright green&#44 glowing cigar shape&#44 streaked through sky in a straight line.
2008-11-10 19:05:00.000,handforth&#44 wilmslow&#44 cheshire (uk/england),,,fireball,60.00,Orange fireball over North East Cheshire moving South to North
2008-11-10 22:00:00.000,pirenopolis (brazil),,,circle,37800.00,Bright white and yellow circular light over deserted forest in Brazil&#44 accelerates downwards&#44 four times
2000-11-21 14:15:00.000,fauske (norway),,,other,300.00,What was it?
2003-11-21 19:00:00.000,snappertuna (finland),,,disk,6.00,objekt with two lights flying over my car
2008-11-21 18:30:00.000,mansa (india),,,disk,7200.00,15 mins of footage on national tv
2012-11-21 09:30:00.000,popocatepetl volcano (mexico),,,changing,10800.00,Screen captures from remote web com on Popocatepetl Volcano.
2000-11-02 05:00:00.000,hilversum (netherlands),,,formation,2.00,wing shaped formation of 10 or 12 red lights
2001-01-12 22:30:00.000,st.leonards-on-sea (uk/england),,,formation,180.00,Four or five vapour trails seen travelling at high speed through the sky.
2003-01-12 07:02:00.000,sharjah (united arab emirates),,,oval,360.00,At the time just when sun rises looking towards sun rise vertical plane with ~45 degree (elevation) a bright oval body appeared includi
2003-11-02 13:19:00.000,seoul (south korea),,,disk,1.00,Among 3 pictures taken in 1 sec in a row&#44 it showed only in the middle
2004-01-12 20:10:00.000,rotterdam (near) (netherlands),,,light,5.00,01/12/04&#44 20:10 dutchtime&#44 near Rotterdam&#44 two bright lights moving very fast&#44 from some kind of craft.
2004-11-02 22:00:00.000,mandaluyong (philippines),,,disk,300.00,saucer in the sky&#33
2005-01-12 00:30:00.000,pinar del rio (cuba),,,triangle,300.00,the object was moving east at low speed and soundless
2009-11-02 20:45:00.000,zimbabwe,,,flash,20.00,UFO identified on Monday 02 November 2009 at 20:45hrs in Triangle&#44 South eastern lowveld area in Zimbabwe
2010-11-02 18:30:00.000,bratislava (slovakia),,,light,240.00,An unknown bright red object manufacturing it&#39s light and simulating an aircraft
2010-11-02 18:50:00.000,morelia (mexico),,,light,1800.00,Strange lights in Morelia Mexico
2013-11-02 18:45:00.000,esch-an-der-alzette (luxemburg),,,light,60.00,Time: 18:45 (6:45 PM).Date: 11/02/2013 (2 November 2013).Location: Esch-an-der-Alzette&#44 Luxemburg. Description of event: Wa
2014-01-12 18:00:00.000,burton on trent  (staffordshire) (uk/england),,,light,180.00,Red/green lights moving at various speeds.
2000-11-22 14:00:00.000,ballina (republic of ireland),,,disk,30.00,Large metallic disk in Irish countryside
2005-11-22 22:00:00.000,ledegem (belgium),,,,7200.00,Gentlemen&#44  my person saw at the date and time ( could be I missed a few hours or a day because it was in the distance ) a non moving
2005-11-22 23:50:00.000,beynes (france),,,triangle,3600.00,Full Description of event/sighting: What appears to be directly or very close to the National Police/Military Special Forces training c
2006-11-22 01:25:00.000,uk/england (in flight),,,unknown,5.00,2 flying objects close to England in front of the airplane
2008-11-22 19:00:00.000,peacehaven (uk/england),,,light,15.00,lights in sky in peacehaven
2008-11-22 19:05:00.000,scottish borders (uk/scotland),,,unknown,600.00,three orange lights over the Scottish Borders
2008-11-22 19:30:00.000,bangalore (india),,,circle,1500.00,Bright lighted object seen at Bangalore 22nd November 2008
2009-11-22 00:00:00.000,kuwait,,,light,5.00,one light over Camp LSA&#44 Kuwait; moving fast - made a &quot;z&quot; maneuver.
2011-11-22 02:10:00.000,baku (azerbaijan),,,cigar,20.00,Baku Fir north of bekir point
2012-11-22 01:30:00.000,cape town (south africa),,,,120.00,MOON SIZED OBJECT SEEN.
2013-11-22 19:00:00.000,west sumatra (indonesia),,,oval,3600.00,Oval shape craft with lights around attached to the craft. with haze.
2013-11-22 19:30:00.000,quintana roo (secrets capri) (mexico),,,formation,60.00,Our first night in Cancun&#44 we randomly ended up having dinner outside.  My wife (completely not a UFO believer) happened to notice some
2002-11-23 07:25:00.000,oud-heverlee (belgium),,,other,1.00,A full oval illuminated ball motioned at low altitude
2002-11-23 20:45:00.000,philippines,,,unknown,900.00,It was night of the month of november&#44 there was an electric failure&#44 so the whole place was dark. Me and my sister are fond of looking
2004-11-23 19:00:00.000,puerto vallarta (mexico),,,circle,120.00,Large spheric objects in the sky.
2006-11-23 11:00:00.000,ettalong beach nsw (australia),,,cigar,30.00,It was a clear Summer day and I had no alcohol in my system.
2006-11-23 19:00:00.000,barnala sherpur (village) (india),,,triangle,1800.00,long cyclinderical or triangle ufo sighted in India
2008-11-23 01:13:00.000,thornton-cleveleys (uk/england),,,changing,720.00,YOU MUST READ THIS&#33&#33&#33&#33&#33&#33&#33 This could not of been 5 planes they were far too close to each other........
2008-11-23 20:30:00.000,suva (fiji),,,oval,3600.00,Two bright light objects distinctive from stars or plane. they were stationary most of the time but going up and down slowly. they brig
2001-11-24 20:00:00.000,bicester&#44 oxfordshire (uk/england),,,circle,60.00,STATIONARY CIRCLE OF 12 EQUIDISTANT WHITE LIGHTS.
2003-11-24 17:50:00.000,guwahati (india),,,light,300.00,2 objects in a ziz zag pattern crossing the clear evening sky over Guwahati state capital of Assam India
2006-11-24 18:45:00.000,new delhi (india),,,circle,1.00,I was smoking ouside my office gallery. I saw a bright star like object in the sky. I thought it is an aeroplane. suddenly the light we
