Orderid,OrderDate,territoryName,YearOrdered,ExpectedDeliveryDate,CustomerPurchaseOrderNumber,PickingCompletedWhen,OrderPrice
40796,2015-01-03T01:00:00Z,Northeast,2015,2015-01-05T00:00:00Z,19783,2015-01-03T12:00:00Z,105
40807,2015-01-03T02:00:00Z,Canada,2015,2015-01-05T00:00:00Z,15419,2015-01-03T11:00:00Z,240
40814,2015-01-03T03:00:00Z,Canada,2015,2015-01-05T00:00:00Z,10453,2015-05-25T11:00:00Z,18
40816,2015-01-03T04:00:00Z,Northeast,2015,2015-01-05T00:00:00Z,19783,2015-05-21T11:00:00Z,18
40832,2015-01-05T01:00:00Z,Northeast,2015,2015-01-06T00:00:00Z,12257,2015-01-05T11:00:00Z,240
40846,2015-01-05T02:00:00Z,Northwest,2015,2015-01-06T00:00:00Z,12205,2015-01-05T11:00:00Z,50
40855,2015-01-05T03:00:00Z,Southeast,2015,2015-01-06T00:00:00Z,13418,2015-01-05T11:00:00Z,18
40857,2015-01-05T04:00:00Z,Central,2015,2015-01-06T00:00:00Z,18337,2015-01-05T11:00:00Z,240
43565,2015-02-19T01:00:00Z,Southwest,2015,2015-02-20T00:00:00Z,15179,2015-02-19T11:00:00Z,34
43570,2015-02-19T02:00:00Z,United Kingdom,2015,2015-02-20T00:00:00Z,16186,2015-02-19T11:00:00Z,345
43579,2015-02-20T01:00:00Z,Canada,2015,2015-02-23T00:00:00Z,19963,2015-02-20T11:00:00Z,13
43588,2015-02-20T02:00:00Z,Canada,2015,2015-02-23T00:00:00Z,19577,2015-02-20T11:00:00Z,240
43595,2015-02-20T03:00:00Z,Northeast,2015,2015-02-23T00:00:00Z,10310,2015-02-20T11:00:00Z,32
43597,2015-02-20T04:00:00Z,France,2015,2015-02-23T00:00:00Z,11975,2015-02-20T11:00:00Z,230
43604,2015-02-20T05:00:00Z,Southeast,2015,2015-02-23T00:00:00Z,18145,2015-02-20T12:00:00Z,25
43613,2015-02-20T06:00:00Z,Northwest,2015,2015-02-23T00:00:00Z,12851,2015-02-20T11:00:00Z,240
43629,2015-02-21T01:00:00Z,Southeast,2015,2015-02-23T00:00:00Z,10724,2015-02-21T11:00:00Z,35
43631,2015-02-21T02:00:00Z,Southwest,2015,2015-02-23T00:00:00Z,11935,2015-02-21T11:00:00Z,105
43638,2015-02-21T03:00:00Z,Southeast,2015,2015-02-23T00:00:00Z,10760,2015-02-21T11:00:00Z,32
43640,2015-02-21T04:00:00Z,Northeast,2015,2015-02-23T00:00:00Z,14135,2015-02-21T11:00:00Z,99
43645,2015-02-21T05:00:00Z,Southwest,2015,2015-02-23T00:00:00Z,11191,2015-02-21T11:00:00Z,105
43663,2015-02-23T01:00:00Z,Northwest,2015,2015-02-24T00:00:00Z,14054,2015-02-23T11:00:00Z,18.5
43670,2015-02-23T02:00:00Z,Canada,2015,2015-02-24T00:00:00Z,18803,2015-02-23T11:00:00Z,37
43679,2015-02-23T03:00:00Z,Northwest,2015,2015-02-24T00:00:00Z,13614,2015-02-23T11:00:00Z,48
43681,2015-02-23T04:00:00Z,Northeast,2015,2015-02-24T00:00:00Z,17429,2015-02-23T11:00:00Z,105
43690,2015-02-23T05:00:00Z,Southwest,2015,2015-02-24T00:00:00Z,10064,2015-02-23T11:00:00Z,32
43695,2015-02-23T06:00:00Z,Germany,2015,2015-02-24T00:00:00Z,15249,2015-02-23T11:00:00Z,32
43697,2015-02-23T07:00:00Z,United Kingdom,2015,2015-02-24T00:00:00Z,17155,2015-02-23T11:00:00Z,32
43704,2015-02-23T08:00:00Z,Northwest,2015,2015-02-24T00:00:00Z,19405,2015-02-23T12:00:00Z,32
43706,2015-02-23T09:00:00Z,Australia,2015,2015-02-24T00:00:00Z,11807,2015-02-23T11:00:00Z,48
43715,2015-02-23T10:00:00Z,Canada,2015,2015-02-24T00:00:00Z,13693,2015-02-23T11:00:00Z,18
43722,2015-02-23T11:00:00Z,Australia,2015,2015-02-24T00:00:00Z,11365,2015-02-23T11:00:00Z,35
43729,2015-02-23T12:00:00Z,Australia,2015,2015-02-24T00:00:00Z,15529,2015-02-23T11:00:00Z,230
47620,2015-04-23T01:00:00Z,Northwest,2015,2015-04-24T00:00:00Z,11520,2015-04-23T12:00:00Z,35
47622,2015-04-23T02:00:00Z,Australia,2015,2015-04-24T00:00:00Z,13502,2015-04-23T12:00:00Z,230
47635,2015-04-23T03:00:00Z,Canada,2015,2015-04-24T00:00:00Z,15552,2015-04-23T11:00:00Z,48
47636,2015-04-23T04:00:00Z,Northwest,2015,2015-04-24T00:00:00Z,12454,2015-04-23T11:00:00Z,32
47637,2015-04-23T05:00:00Z,Canada,2015,2015-04-24T00:00:00Z,10099,2015-04-23T11:00:00Z,29
47638,2015-04-23T06:00:00Z,Germany,2015,2015-04-24T00:00:00Z,19043,2015-04-23T11:00:00Z,25
47652,2015-04-23T07:00:00Z,Northwest,2015,2015-04-24T00:00:00Z,17013,2015-04-23T11:00:00Z,30
47655,2015-04-23T08:00:00Z,Central,2015,2015-04-24T00:00:00Z,11418,2015-04-23T11:00:00Z,230
47671,2015-04-23T09:00:00Z,Central,2015,2015-04-24T00:00:00Z,15219,2015-04-23T11:00:00Z,35
47686,2015-04-23T10:00:00Z,Southeast,2015,2015-04-24T00:00:00Z,10598,2015-04-23T11:00:00Z,87
47687,2015-04-23T11:00:00Z,Canada,2015,2015-04-24T00:00:00Z,18565,2015-04-23T11:00:00Z,32
47688,2015-04-23T12:00:00Z,United Kingdom,2015,2015-04-24T00:00:00Z,15393,2015-04-23T11:00:00Z,87
47689,2015-04-23T13:00:00Z,Southwest,2015,2015-04-24T00:00:00Z,15848,2015-04-23T12:00:00Z,32
47703,2015-04-23T14:00:00Z,Central,2015,2015-04-24T00:00:00Z,11179,2015-04-23T11:00:00Z,13
47704,2015-04-23T15:00:00Z,Northeast,2015,2015-04-24T00:00:00Z,14094,2015-04-23T11:00:00Z,48
47705,2015-04-23T16:00:00Z,France,2015,2015-04-24T00:00:00Z,15895,2016-05-09T11:00:00Z,18
47720,2015-04-24T01:00:00Z,Canada,2015,2015-04-27T00:00:00Z,13331,2015-04-24T11:00:00Z,25
47722,2015-04-24T02:00:00Z,Australia,2015,2015-04-27T00:00:00Z,11941,2015-04-24T11:00:00Z,25
47736,2015-04-24T03:00:00Z,Canada,2015,2015-04-27T00:00:00Z,12668,2015-04-24T11:00:00Z,32
47738,2015-04-24T04:00:00Z,Northeast,2015,2015-04-27T00:00:00Z,15321,2015-04-24T12:00:00Z,18
47739,2015-04-24T05:00:00Z,Southeast,2015,2015-04-27T00:00:00Z,17909,2015-04-24T11:00:00Z,230
47754,2015-04-24T06:00:00Z,Southwest,2015,2015-04-27T00:00:00Z,13437,2015-04-24T11:00:00Z,32
47755,2015-04-24T07:00:00Z,Northeast,2015,2015-04-27T00:00:00Z,12552,2015-04-24T11:00:00Z,25
47769,2015-04-24T08:00:00Z,Southeast,2015,2015-04-27T00:00:00Z,18007,2015-04-24T11:00:00Z,25
47770,2015-04-24T09:00:00Z,Southwest,2015,2015-04-27T00:00:00Z,16272,2015-04-24T11:00:00Z,240
47772,2015-04-24T10:00:00Z,Canada,2015,2015-04-27T00:00:00Z,19949,2015-04-24T11:00:00Z,32
47786,2015-04-24T11:00:00Z,Southwest,2015,2015-04-27T00:00:00Z,11299,2015-04-24T11:00:00Z,230
47787,2015-04-24T12:00:00Z,Southeast,2015,2015-04-27T00:00:00Z,11902,2015-04-24T11:00:00Z,32
47788,2015-04-24T13:00:00Z,Germany,2015,2015-04-27T00:00:00Z,10860,2015-04-24T11:00:00Z,240
48561,2015-05-06T01:00:00Z,Canada,2015,2015-05-07T00:00:00Z,19023,2015-05-06T11:00:00Z,34
48575,2015-05-06T02:00:00Z,Canada,2015,2015-05-07T00:00:00Z,12211,2015-05-06T12:00:00Z,26
48577,2015-05-06T03:00:00Z,Australia,2015,2015-05-07T00:00:00Z,14563,2015-05-06T11:00:00Z,18
48593,2015-05-07T01:00:00Z,Southwest,2015,2015-05-08T00:00:00Z,15597,2015-05-07T11:00:00Z,240
48602,2015-05-07T02:00:00Z,Southwest,2015,2015-05-08T00:00:00Z,16922,2015-05-07T11:00:00Z,102
48604,2015-05-07T03:00:00Z,Northwest,2015,2015-05-08T00:00:00Z,14570,2015-05-07T11:00:00Z,13
48609,2015-05-07T04:00:00Z,Central,2015,2015-05-08T00:00:00Z,17576,2015-05-07T11:00:00Z,230
48611,2015-05-07T05:00:00Z,Australia,2015,2015-05-08T00:00:00Z,13231,2015-05-07T11:00:00Z,240
48629,2015-05-07T06:00:00Z,United Kingdom,2015,2015-05-08T00:00:00Z,10935,2015-05-07T11:00:00Z,99
48634,2015-05-07T07:00:00Z,Northeast,2015,2015-05-08T00:00:00Z,19373,2015-05-07T11:00:00Z,32
48643,2015-05-07T08:00:00Z,Central,2015,2015-05-08T00:00:00Z,15060,2015-05-07T11:00:00Z,32
48645,2015-05-07T09:00:00Z,Canada,2015,2015-05-08T00:00:00Z,18766,2015-05-07T11:00:00Z,25
48668,2015-05-08T01:00:00Z,Canada,2015,2015-05-11T00:00:00Z,14305,2015-05-08T11:00:00Z,112
48670,2015-05-08T02:00:00Z,Southeast,2015,2015-05-11T00:00:00Z,13791,2015-05-08T11:00:00Z,32
48677,2015-05-08T03:00:00Z,Canada,2015,2015-05-11T00:00:00Z,18505,2015-05-08T11:00:00Z,35
48684,2015-05-08T04:00:00Z,Canada,2015,2015-05-11T00:00:00Z,12636,2015-05-08T11:00:00Z,32
48693,2015-05-08T05:00:00Z,Central,2015,2015-05-11T00:00:00Z,18479,2015-05-08T11:00:00Z,18
48695,2015-05-08T06:00:00Z,Southwest,2015,2015-05-11T00:00:00Z,12281,2015-05-08T11:00:00Z,25
48709,2015-05-08T07:00:00Z,Central,2015,2015-05-11T00:00:00Z,18315,2015-05-08T11:00:00Z,45
48718,2015-05-08T08:00:00Z,Southwest,2015,2015-05-11T00:00:00Z,10522,2015-05-08T11:00:00Z,32
48720,2015-05-08T09:00:00Z,Germany,2015,2015-05-11T00:00:00Z,12990,2015-05-08T11:00:00Z,42
48734,2015-05-08T10:00:00Z,Southeast,2015,2015-05-11T00:00:00Z,16210,2015-05-08T12:00:00Z,30
48736,2015-05-08T11:00:00Z,Southwest,2015,2015-05-11T00:00:00Z,12860,2015-05-08T11:00:00Z,32
48743,2015-05-09T01:00:00Z,Northwest,2015,2015-05-11T00:00:00Z,18958,2015-05-09T11:00:00Z,32
48752,2015-05-09T02:00:00Z,Canada,2015,2015-05-11T00:00:00Z,19032,2015-05-09T11:00:00Z,32
48754,2015-05-09T03:00:00Z,Northeast,2015,2015-05-11T00:00:00Z,18364,2015-05-09T11:00:00Z,25
48759,2015-05-09T04:00:00Z,Central,2015,2015-05-11T00:00:00Z,16728,2015-05-09T11:00:00Z,230
50299,2015-06-02T01:00:00Z,Canada,2015,2015-06-03T00:00:00Z,15514,2015-06-02T11:00:00Z,32
50306,2015-06-02T02:00:00Z,Southwest,2015,2015-06-03T00:00:00Z,16880,2015-06-02T12:00:00Z,18.5
50308,2015-06-02T03:00:00Z,Northeast,2015,2015-06-03T00:00:00Z,15822,2015-06-02T11:00:00Z,42
50313,2015-06-02T04:00:00Z,Northwest,2015,2015-06-03T00:00:00Z,15799,2015-06-02T11:00:00Z,240
50338,2015-06-03T01:00:00Z,Southeast,2015,2015-06-04T00:00:00Z,17226,2015-06-03T11:00:00Z,32
50340,2015-06-03T02:00:00Z,Canada,2015,2015-06-04T00:00:00Z,10381,2015-06-03T11:00:00Z,25
50342,2015-06-03T03:00:00Z,Australia,2015,2015-06-04T00:00:00Z,15949,2015-06-03T12:00:00Z,32
50347,2015-06-03T04:00:00Z,Central,2015,2015-06-04T00:00:00Z,15272,2015-06-03T11:00:00Z,30
50365,2015-06-03T05:00:00Z,Australia,2015,2015-06-04T00:00:00Z,14738,2015-06-03T11:00:00Z,18
50367,2015-06-03T06:00:00Z,Southwest,2015,2015-06-04T00:00:00Z,12924,2015-06-03T11:00:00Z,285
50372,2015-06-03T07:00:00Z,Germany,2015,2015-06-04T00:00:00Z,10486,2015-06-03T11:00:00Z,48
50374,2015-06-03T08:00:00Z,United Kingdom,2015,2015-06-04T00:00:00Z,18651,2015-06-03T11:00:00Z,32
50381,2015-06-03T09:00:00Z,Northeast,2015,2015-06-04T00:00:00Z,16359,2015-06-03T12:00:00Z,3.7
50390,2015-06-03T10:00:00Z,Northeast,2015,2015-06-04T00:00:00Z,14629,2015-06-03T11:00:00Z,230
50392,2015-06-03T11:00:00Z,Germany,2015,2015-06-04T00:00:00Z,19269,2015-06-03T11:00:00Z,285
50397,2015-06-03T12:00:00Z,Canada,2015,2015-06-04T00:00:00Z,16835,2015-06-03T12:00:00Z,240
50424,2015-06-04T01:00:00Z,Northeast,2015,2015-06-05T00:00:00Z,13144,2015-06-04T11:00:00Z,90
50431,2015-06-04T02:00:00Z,Northeast,2015,2015-06-05T00:00:00Z,15355,2015-06-04T11:00:00Z,20
50433,2015-06-04T03:00:00Z,Canada,2015,2015-06-05T00:00:00Z,18603,2015-06-04T11:00:00Z,35
50440,2015-06-04T04:00:00Z,Central,2015,2015-06-05T00:00:00Z,15466,2015-06-04T11:00:00Z,37
50442,2015-06-04T05:00:00Z,Southeast,2015,2015-06-05T00:00:00Z,16184,2015-06-04T12:00:00Z,13
50447,2015-06-04T06:00:00Z,Canada,2015,2015-06-05T00:00:00Z,19858,2015-06-04T11:00:00Z,230
50449,2015-06-04T07:00:00Z,Germany,2015,2015-06-05T00:00:00Z,19208,2015-06-04T11:00:00Z,35
50467,2015-06-04T08:00:00Z,Central,2015,2015-06-05T00:00:00Z,12141,2015-06-04T12:00:00Z,16
50474,2015-06-04T09:00:00Z,France,2015,2015-06-05T00:00:00Z,10533,2015-06-04T12:00:00Z,13
50481,2015-06-04T10:00:00Z,Southwest,2015,2015-06-05T00:00:00Z,17232,2015-06-04T12:00:00Z,4.1
50492,2015-06-04T11:00:00Z,Canada,2015,2015-06-05T00:00:00Z,10731,2015-06-04T12:00:00Z,35
50522,2015-06-04T12:00:00Z,Canada,2015,2015-06-05T00:00:00Z,10731,2015-06-05T11:00:00Z,18
51232,2015-06-16T01:00:00Z,France,2015,2015-06-17T00:00:00Z,10875,2015-06-16T12:00:00Z,13
51246,2015-06-16T02:00:00Z,Southwest,2015,2015-06-17T00:00:00Z,16110,2015-06-16T11:00:00Z,102
51248,2015-06-16T03:00:00Z,Northwest,2015,2015-06-17T00:00:00Z,14420,2015-06-16T12:00:00Z,13
51262,2015-06-16T04:00:00Z,Northeast,2015,2015-06-17T00:00:00Z,13492,2015-06-16T11:00:00Z,230
51263,2015-06-16T05:00:00Z,Northeast,2015,2015-06-17T00:00:00Z,19803,2015-06-16T11:00:00Z,240
51265,2015-06-16T06:00:00Z,Southeast,2015,2015-06-17T00:00:00Z,18898,2015-06-16T11:00:00Z,102
51279,2015-06-16T07:00:00Z,Southwest,2015,2015-06-17T00:00:00Z,15371,2015-06-22T11:00:00Z,18
51282,2015-06-16T08:00:00Z,Southeast,2015,2015-06-17T00:00:00Z,14825,2015-06-17T11:00:00Z,3.5
51296,2015-06-17T01:00:00Z,France,2015,2015-06-18T00:00:00Z,12156,2015-06-17T11:00:00Z,35
51297,2015-06-17T02:00:00Z,Central,2015,2015-06-18T00:00:00Z,18089,2015-06-17T11:00:00Z,33
51313,2015-06-17T03:00:00Z,Central,2015,2015-06-18T00:00:00Z,14005,2015-06-17T12:00:00Z,29
51314,2015-06-17T04:00:00Z,Northwest,2015,2015-06-18T00:00:00Z,13581,2015-06-17T11:00:00Z,35
51329,2015-06-17T05:00:00Z,Northeast,2015,2015-06-18T00:00:00Z,17655,2015-06-17T11:00:00Z,32
51330,2015-06-17T06:00:00Z,Germany,2015,2015-06-18T00:00:00Z,18069,2015-06-17T11:00:00Z,32
51331,2015-06-17T07:00:00Z,Australia,2015,2015-06-18T00:00:00Z,18578,2015-06-17T11:00:00Z,18
51332,2015-06-17T08:00:00Z,Canada,2015,2015-06-18T00:00:00Z,11785,2015-06-17T11:00:00Z,230
51345,2015-06-17T09:00:00Z,Northwest,2015,2015-06-18T00:00:00Z,12024,2015-06-17T11:00:00Z,1899
51346,2015-06-17T10:00:00Z,Southeast,2015,2015-06-18T00:00:00Z,16377,2015-06-17T11:00:00Z,30
51347,2015-06-17T11:00:00Z,Southwest,2015,2015-06-18T00:00:00Z,18889,2015-06-17T12:00:00Z,230
51348,2015-06-17T12:00:00Z,France,2015,2015-06-18T00:00:00Z,16948,2015-06-17T12:00:00Z,13
51349,2015-06-17T13:00:00Z,Southwest,2015,2015-06-18T00:00:00Z,11591,2015-06-17T11:00:00Z,230
51364,2015-06-17T14:00:00Z,Canada,2015,2015-06-18T00:00:00Z,10819,2015-06-18T11:00:00Z,18
51379,2015-06-18T01:00:00Z,Northeast,2015,2015-06-19T00:00:00Z,10676,2015-06-18T11:00:00Z,25
51380,2015-06-18T02:00:00Z,Central,2015,2015-06-19T00:00:00Z,18592,2015-06-18T11:00:00Z,32
51382,2015-06-18T03:00:00Z,Canada,2015,2015-06-19T00:00:00Z,19082,2015-06-18T11:00:00Z,25
51398,2015-06-18T04:00:00Z,Australia,2015,2015-06-19T00:00:00Z,14794,2015-06-18T11:00:00Z,230
51399,2015-06-18T05:00:00Z,Canada,2015,2015-06-19T00:00:00Z,10994,2015-06-18T11:00:00Z,240
51412,2015-06-18T06:00:00Z,Southeast,2015,2015-06-19T00:00:00Z,19102,2015-06-18T11:00:00Z,230
51414,2015-06-18T07:00:00Z,Southwest,2015,2015-06-19T00:00:00Z,18642,2015-06-18T11:00:00Z,18
51446,2015-06-19T01:00:00Z,Southwest,2015,2015-06-22T00:00:00Z,12048,2015-06-19T11:00:00Z,32
53510,2015-07-20T01:00:00Z,Southeast,2015,2015-07-21T00:00:00Z,11419,2016-01-08T11:00:00Z,18
53511,2015-07-20T02:00:00Z,Southeast,2015,2015-07-21T00:00:00Z,17697,2015-07-21T11:00:00Z,18
53512,2015-07-20T03:00:00Z,Northwest,2015,2015-07-21T00:00:00Z,15897,2015-07-27T11:00:00Z,3.7
53527,2015-07-21T01:00:00Z,Northwest,2015,2015-07-22T00:00:00Z,14528,2015-07-21T11:00:00Z,32
53529,2015-07-21T02:00:00Z,United Kingdom,2015,2015-07-22T00:00:00Z,15321,2015-07-21T11:00:00Z,50
53543,2015-07-21T03:00:00Z,Australia,2015,2015-07-22T00:00:00Z,18788,2015-07-21T11:00:00Z,240
53544,2015-07-21T04:00:00Z,Canada,2015,2015-07-22T00:00:00Z,16091,2015-07-21T12:00:00Z,18
53545,2015-07-21T05:00:00Z,Central,2015,2015-07-22T00:00:00Z,13970,2015-07-21T11:00:00Z,48
53546,2015-07-21T06:00:00Z,Southwest,2015,2015-07-22T00:00:00Z,11784,2015-07-21T11:00:00Z,25
53560,2015-07-21T07:00:00Z,Northwest,2015,2015-07-22T00:00:00Z,16784,2015-07-21T11:00:00Z,32
53561,2015-07-21T08:00:00Z,Southwest,2015,2015-07-22T00:00:00Z,11081,2015-07-21T12:00:00Z,35
53562,2015-07-21T09:00:00Z,Southeast,2015,2015-07-22T00:00:00Z,18864,2015-07-21T12:00:00Z,24
53576,2015-07-21T10:00:00Z,Canada,2015,2015-07-22T00:00:00Z,17977,2015-07-21T11:00:00Z,240
53577,2015-07-21T11:00:00Z,Central,2015,2015-07-22T00:00:00Z,13894,2015-07-21T11:00:00Z,32
53578,2015-07-21T12:00:00Z,Australia,2015,2015-07-22T00:00:00Z,17685,2015-07-21T11:00:00Z,105
53580,2015-07-21T13:00:00Z,Southwest,2015,2015-07-22T00:00:00Z,10912,2015-07-21T11:00:00Z,32
53593,2015-07-22T01:00:00Z,Northwest,2015,2015-07-23T00:00:00Z,11967,2015-07-22T12:00:00Z,240
53595,2015-07-22T02:00:00Z,Southeast,2015,2015-07-23T00:00:00Z,11902,2015-07-22T11:00:00Z,25
53596,2015-07-22T03:00:00Z,Southwest,2015,2015-07-23T00:00:00Z,12501,2015-07-22T11:00:00Z,34
53610,2015-07-22T04:00:00Z,Canada,2015,2015-07-23T00:00:00Z,13092,2015-07-22T11:00:00Z,32
53611,2015-07-22T05:00:00Z,Southeast,2015,2015-07-23T00:00:00Z,17170,2015-07-22T11:00:00Z,285
53628,2015-07-22T06:00:00Z,Canada,2015,2015-07-23T00:00:00Z,19543,2015-07-22T12:00:00Z,32
53630,2015-07-22T07:00:00Z,France,2015,2015-07-23T00:00:00Z,18926,2015-07-22T11:00:00Z,345
53645,2015-07-22T08:00:00Z,Southwest,2015,2015-07-23T00:00:00Z,19241,2015-07-22T11:00:00Z,50
53646,2015-07-22T09:00:00Z,Southwest,2015,2015-07-23T00:00:00Z,14655,2015-07-22T12:00:00Z,18
53647,2015-07-22T10:00:00Z,Southwest,2015,2015-07-23T00:00:00Z,16185,2015-07-22T11:00:00Z,32
53660,2015-07-22T11:00:00Z,Central,2015,2015-07-23T00:00:00Z,17668,2015-07-22T11:00:00Z,32
53662,2015-07-22T12:00:00Z,Northeast,2015,2015-07-23T00:00:00Z,17065,2015-07-22T11:00:00Z,35
53663,2015-07-22T13:00:00Z,Central,2015,2015-07-23T00:00:00Z,14332,2015-07-22T11:00:00Z,90
