MixId,MixDesc,plant,ShipDate,DeliveryWeight,Cost,Quantity,OrderDate,WeightValue
500900,SAND SLURRY,1,2016-06-24T11:05:59Z,3694.56,10.5408,27.0144,2016-06-24T05:05:59Z,2.15244
505900,1/2 SACK SAND SLURRY,1,2016-06-24T11:02:09Z,3701.56,12.5372,27.0116,2016-06-24T05:02:09Z,2.15447
215900,1.5 SACK ABC SLURRY,2,2016-06-24T10:59:01Z,-3859.8,15.6358,27.0004,2016-06-23T08:59:01Z,2.20004
610900,1 SACK SAND SLURRY,1,2016-06-24T11:01:37Z,3699.56,13.924,27.0104,2016-06-24T05:01:37Z,2.15389
230900,3 SACK ABC SLURRY,2,2016-06-24T10:59:45Z,3861.8,20.3636,26.9732,2016-06-23T13:59:45Z,2.20061
610920,1 SACK SAND SLURRY PUMPABLE,1,2016-06-24T11:01:10Z,3614.56,20.3448,27.0121,2016-06-24T05:01:10Z,2.129
220900,2 SACK ABC SLURRY,2,2016-06-24T10:59:06Z,3859.8,17.2096,26.9874,2016-06-23T08:59:06Z,2.20004
615900,15 SACK SAND SLURRY,1,2016-06-24T11:00:41Z,3702.56,15.6414,27.0091,2016-06-24T05:00:41Z,2.15476
620900,2 SACK SAND SLURRY,1,2016-06-24T11:00:09Z,3705.56,17.3104,27.0124,2016-06-24T05:00:09Z,2.15564
240900,4 SACK ABC SLURRY,2,2016-06-24T10:59:48Z,3867.8,23.7716,26.9644,2016-06-23T13:59:48Z,2.20232
630900,3 SACK SAND SLURRY,1,2016-06-24T10:59:00Z,-3707.56,20.442,27.0135,2016-06-23T08:59:00Z,2.15622
640900,4 SACK SAND SLURRY,1,2016-06-24T10:51:12Z,3712.56,23.8252,27.0094,2016-06-23T08:51:12Z,2.15767
PHCLSM,1/2 SACK ABC SLURRY,1,2016-06-24T10:49:36Z,3814.835,13.0332,27.0103,2016-06-23T13:49:36Z,2.18719
105900,1/2 SACK ABC SLURRY,2,2016-06-24T10:48:22Z,3855.8,12.4036,27.0083,2016-06-23T08:48:22Z,2.1989
105930,1/2 SACK 3/8 DITCH FILL,2,2016-06-24T10:48:25Z,3828.49,11.594,27.0096,2016-06-23T08:48:25Z,2.1911
110900,1 SACK ABC SLURRY,2,2016-06-24T10:48:28Z,3862.8,14.4096,27.0055,2016-06-23T08:48:28Z,2.2009
110930,1SK APS ENCASEMENT,2,2016-06-24T10:48:30Z,3876.8,13.6304,27.0091,2016-06-23T08:48:30Z,2.20488
115930,1.5 SACK-APS ENCASEMENT,2,2016-06-24T10:48:33Z,3870.8,15.61,27.0087,2016-06-23T13:48:33Z,2.20318
120930,2 SACK-APS ENCASEMENT,2,2016-06-24T10:54:35Z,3878.8,17.926,27.0053,2016-06-23T13:54:35Z,2.20545
140301,4000PSI 3/8 IN COUNTER TOP MIX,2,2016-06-24T10:58:05Z,4009.64,40.1666,27.0406,2016-06-23T08:58:05Z,2.24234
145201,4500PSI 40% 1/2 IN NO ASH,2,2016-06-24T10:58:21Z,4005.61,43.4348,27.0584,2016-06-23T08:58:21Z,2.24121
120400,2000 PSI - MAG C - NO FLY ASH,1,2017-06-03T11:57:41Z,3984.4825,29.8557,27.0234,2017-06-03T05:57:41Z,2.23529
125100,2500 PSI - NO FLY ASH,1,2017-06-03T11:57:53Z,3984.4825,29.8557,27.0234,2017-06-03T05:57:53Z,2.23529
125105,2500 PSI .67 W/C NO ASH,1,2017-06-03T11:58:09Z,3989.545,30.517,27.0257,2017-06-03T05:58:09Z,2.23671
125150,2500 PSI.67W/C NO ASH FLOWABLE,1,2017-06-03T11:58:16Z,3991.4825,32.3373,27.0497,2017-06-03T05:58:16Z,2.23726
125180,2500 PSI NO FLY ASH FLOWABLE,1,2017-06-03T11:58:23Z,3985.8575,30.6983,27.0404,2017-06-03T05:58:23Z,2.23568
125201,2500 PSI - 40% 1/2 IN,1,2017-06-03T11:58:37Z,3970.36,33.1924,27.0294,2017-06-03T05:58:37Z,2.23133
125400,2500 PSI - MAG B - NO FLY ASH,1,2017-06-03T11:58:44Z,3991.6075,32.0287,27.0195,2017-06-03T05:58:44Z,2.23729
130100,3000 PSI - NO FLY ASH,1,2017-06-03T12:00:24Z,3990.6075,31.6055,27.0232,2017-06-03T06:00:24Z,2.23701
125480,2500PSI MAG B NO ASH FLOWABLE,1,2017-06-03T11:58:59Z,3994.42,33.2056,27.0474,2017-06-03T05:58:59Z,2.23808
130105,3000 PSI .58 W/C NO FLY ASH,1,2017-06-03T12:00:51Z,4000.7325,34.0821,27.0305,2017-06-03T06:00:51Z,2.23985
130150,3000PSI.58W/CNO FLY ASH FLOWAB,1,2017-06-03T12:01:01Z,-4002.795,35.357,27.0559,2017-06-03T06:01:01Z,2.24043
130180,3000PSI NO FLY ASH FLOWABLE,1,2016-06-24T10:40:24Z,3991.9825,32.4591,27.0401,2016-06-23T08:40:24Z,2.2374
130190,3000 PSI FLOWABLE NON CHLORIDE,1,2016-06-24T10:40:29Z,3991.9825,32.4591,27.0401,2016-06-23T08:40:29Z,2.2374
130195,3000PSI .67 W/C N ASH FLOW N/C,1,2016-06-24T10:40:32Z,4002.295,35.1816,27.0469,2016-06-23T13:40:32Z,2.24029
130200,3000 PSI 1/2 IN NO ASH,1,2016-06-24T10:40:35Z,3997.67,33.3332,27.0279,2016-06-23T13:40:35Z,2.23899
130201,3000PSI 40% 1/2 IN NO ASH,1,2016-06-24T10:40:37Z,4003.7325,35.0577,27.0267,2016-06-23T13:40:37Z,2.24069
130280,3000 PSI 1/2 IN FLOWABLE,1,2016-06-24T10:40:40Z,4000.17,34.8952,27.0585,2016-06-23T13:40:40Z,2.23969
100900,ABC SLURRY,3,2016-06-24T11:00:18Z,3848.8,10.3976,27.011,2016-06-24T05:00:18Z,2.19691
130281,"3000 PSI 40% 1/2"" FLOWABLE",1,2016-06-24T10:40:42Z,4005.42,36.0928,27.0476,2016-06-23T13:40:42Z,2.24116
130300,3000 PSI 3/8 INCH,1,2016-06-24T10:40:46Z,3997.67,31.9268,27.0279,2016-06-23T13:40:46Z,2.23899
130301,3000 PSI 40% 3/8 - NO FLY ASH,1,2016-06-24T10:40:48Z,4003.795,34.071,27.0276,2016-06-23T13:40:48Z,2.24071
105900,1/2 SACK ABC SLURRY,3,2016-06-24T11:00:21Z,3855.8,12.4036,27.0083,2016-06-24T05:00:21Z,2.1989
130400,3000 PSI - MAG A - NO FLY ASH,1,2016-06-24T10:40:51Z,4000.7325,34.2081,27.0277,2016-06-23T13:40:51Z,2.23985
130402,"3000PSI MAG A-NO FLY ASH-1/2""",1,2016-06-24T10:40:54Z,4000.7325,34.2081,27.0277,2016-06-23T13:40:54Z,2.23985
105930,1/2 SACK 3/8 DITCH FILL,3,2016-06-24T11:00:23Z,3828.49,11.594,27.0096,2016-06-24T05:00:23Z,2.1911
130403,"3000PSI MAG A-NO FLY ASH-3/8""",1,2016-06-24T10:40:59Z,4000.7325,32.8097,27.0277,2016-06-23T13:40:59Z,2.23985
130403,"3000PSI MAG A-NO FLY ASH-3/8""",2,2016-06-24T10:57:26Z,4000.7325,32.8097,27.0277,2016-06-23T08:57:26Z,2.23985
130440,3000 PSI CLASS S NO ASH,1,2016-06-24T10:41:04Z,4021.45,36.1742,27.0281,2016-06-23T08:41:04Z,2.24564
130480,3000PSI-MAG A-NO ASH-FLOWABLE,1,2016-06-24T10:41:09Z,4002.9825,35.5809,27.0557,2016-06-23T08:41:09Z,2.24048
130490,3000I-MAG A-NOASH-FLOWABLE N/C,1,2016-06-24T10:41:11Z,4002.9825,35.5809,27.0557,2016-06-23T08:41:11Z,2.24048
130503,3000PSI 3/8 IN NO ASH EXPOSED,1,2016-06-24T10:41:14Z,3996.67,31.694,27.0219,2016-06-23T08:41:14Z,2.23871
135100,3000 PSI NO FLY ASH,1,2016-06-24T10:41:25Z,3996.67,33.33,27.0218,2016-06-23T08:41:25Z,2.23871
135180,3500 PSI NO FLY ASH FLOWABLE,1,2016-06-24T10:41:31Z,3998.2325,34.2925,27.0411,2016-06-23T13:41:31Z,2.23915
135190,3500PSI FLOWABLE NON CHLORIDE,1,2016-06-24T10:41:34Z,3998.2325,34.2925,27.0411,2016-06-23T13:41:34Z,2.23915
135201,3500 PSI 40% 1/2 IN NO ASH,1,2016-06-24T10:41:36Z,4013.7325,37.6097,27.0295,2016-06-23T13:41:36Z,2.24348
140100,4000 PSI - NO FLY ASH,1,2016-06-24T10:41:42Z,4003.795,35.083,27.0276,2016-06-23T13:41:42Z,2.24071
140180,4000 PSI-NO FLY ASH-FLOWABLE,1,2016-06-24T10:41:45Z,4005.545,36.1544,27.0493,2016-06-23T13:41:45Z,2.24119
140190,4000 PSI FLOWABLE NON CHLORIDE,1,2016-06-24T10:41:47Z,4005.545,36.1544,27.0493,2016-06-23T13:41:47Z,2.24119
140300,4000 PSI 3/8 INCH,1,2016-06-24T10:41:50Z,4027.295,40.0386,27.0347,2016-06-23T13:41:50Z,2.24727
140400,4000 PSI MAG AA NO FLY ASH,1,2016-06-24T10:41:55Z,4013.92,37.6856,27.0324,2016-06-23T13:41:55Z,2.24354
140440,4000 PSI CLASS S NO ASH,1,2016-06-24T10:41:58Z,4021.45,36.1742,27.0281,2016-06-23T13:41:58Z,2.24564
110900,1 SACK ABC SLURRY,3,2016-06-24T11:00:28Z,3862.8,14.4096,27.0055,2016-06-24T05:00:28Z,2.2009
145100,4500 PSI - NO ASH,1,2016-06-24T10:42:01Z,-4013.92,37.6856,27.0324,2016-06-23T08:42:01Z,2.24354
145180,4500 PSI - NO ASH - FLOWABLE,1,2016-06-24T10:42:03Z,4016.17,39.1244,27.0596,2016-06-23T08:42:03Z,2.24417
110930,1 SK APS ENCASEMENT,3,2016-06-24T11:00:30Z,3876.8,13.6304,27.0091,2016-06-24T05:00:30Z,2.20488
145190,4500 PSI-FLOWABLE NON CHLORIDE,1,2016-06-24T10:42:06Z,4016.17,39.1244,27.0596,2016-06-23T08:42:06Z,2.24417
150100,5000 PSI - NO FLY ASH,1,2016-06-24T10:42:10Z,4027.1075,41.1631,27.0368,2016-06-23T08:42:10Z,2.24722
115930,1.5 SACK APS ENCASEMENT,3,2016-06-24T11:00:37Z,3870.8,15.61,27.0087,2016-06-24T05:00:37Z,2.20318
150180,5000 PSI-NO FLY ASH-FLOWABLE,1,2016-06-24T10:42:21Z,4029.17,42.438,27.0622,2016-06-23T08:42:21Z,2.24779
150190,5000PSI N FLY ASH FLOWABLE N/C,1,2016-06-24T10:42:23Z,4029.17,42.438,27.0622,2016-06-23T08:42:23Z,2.24779
160100,6000 PSI - NO FLY ASH,1,2016-06-24T10:42:25Z,4037.295,44.295,27.0309,2016-06-23T08:42:25Z,2.25006
160180,6000 PSI NO FLY ASH FLOWABLE,1,2016-06-24T10:42:27Z,4040.42,46.198,27.0697,2016-06-23T08:42:27Z,2.25093
160190,6000PSI N FLY ASH FLOWABLE N/C,1,2016-06-24T10:42:30Z,4040.42,46.198,27.0697,2016-06-23T08:42:30Z,2.25093
160800,6.0 SACK GROUT - NO FLY ASH,1,2016-06-24T10:42:32Z,3756.3025,34.7393,27.0373,2016-06-23T13:42:32Z,2.17035
165800,6.5 SACK GROUT - NO FLY ASH,1,2016-06-24T10:42:34Z,3763.4275,36.7943,27.0364,2016-06-23T13:42:34Z,2.1724
170800,7.0 SACK GROUT NO ASH,1,2016-06-24T10:42:38Z,3753.8625,38.8481,27.0379,2016-06-23T13:42:38Z,2.16964
175800,7.5 SACK GROUT,1,2016-06-24T10:42:40Z,3779.6775,40.8871,27.0465,2016-06-23T13:42:40Z,2.17709
190800,9 SACK GROUT NO ASH,1,2016-06-24T10:42:42Z,3757.0525,47.0441,27.0475,2016-06-23T13:42:42Z,2.17056
220100,2000 PSI,1,2016-06-24T10:42:48Z,3947.295,26.0454,27.0217,2016-06-23T13:42:48Z,2.22484
220400,2000 PSI - MAG C,1,2016-06-24T10:42:50Z,3957.4825,28.4761,27.0247,2016-06-23T13:42:50Z,2.22771
225100,2500 PSI,1,2016-06-24T10:42:54Z,3956.4825,28.6701,27.0213,2016-06-23T13:42:54Z,2.22743
120100,2000 PSI-NO FLY ASH,3,2016-06-24T11:00:40Z,3971.2325,25.5761,27.0178,2016-06-24T05:00:40Z,2.23157
225105,2500 PSI .67 W/C,1,2016-06-24T10:42:56Z,3970.1375,28.7405,27.0207,2016-06-23T13:42:56Z,2.23127
225110,2500 PSI DECK MIX,1,2016-06-24T10:42:59Z,3946.4825,28.3321,27.0213,2016-06-23T13:42:59Z,2.22461
120400,2000 PSI - MAG C - NO FLY ASH,3,2016-06-24T11:00:43Z,3984.4825,29.0661,27.0234,2016-06-24T05:00:43Z,2.23529
225150,2500 PSI .67 W/C FLOWABLE,1,2016-06-24T10:43:03Z,3955.3575,30.6135,27.044,2016-06-23T08:43:03Z,2.22711
225180,2500 PSI - FLOWABLE,1,2016-06-24T10:43:13Z,3958.8575,29.5159,27.0444,2016-06-23T08:43:13Z,2.22809
225190,2500 PSI .67 W/C FLOWABLE N/C,1,2016-06-24T10:43:17Z,3957.8575,29.5127,27.0384,2016-06-23T08:43:17Z,2.22781
225200,2500 PSI 1/2 INCH,1,2016-06-24T10:43:19Z,3955.6075,29.9135,27.0254,2016-06-23T08:43:19Z,2.22718
225201,2500PSI - 40% - 1/2 INCH,1,2016-06-24T10:43:21Z,3948.0775,31.5929,27.0258,2016-06-23T08:43:21Z,2.22506
225300,2500 PSI - 3/8 INCH,1,2016-06-24T10:43:23Z,3955.6075,28.5167,27.0254,2016-06-23T08:43:23Z,2.22718
225301,2500 PSI - 40% - 3/8 INCH,1,2016-06-24T10:43:25Z,3948.0775,30.5953,27.0258,2016-06-23T08:43:25Z,2.22506
225400,2500 PSI MAG B,1,2016-06-24T10:43:27Z,3961.6075,30.4879,27.0205,2016-06-23T08:43:27Z,2.22887
225402,2500 PSI MAG B 1/2 INCH,1,2016-06-24T10:43:30Z,3962.6075,30.4911,27.0265,2016-06-23T08:43:30Z,2.22915
225403,2500 PSI MAG B 3/8 INCH,1,2016-06-24T10:43:33Z,3962.6075,29.0935,27.0265,2016-06-23T13:43:33Z,2.22915
225440,2500 PSI CLASS S,1,2016-06-24T10:43:35Z,3985.6375,34.4225,27.0338,2016-06-23T13:43:35Z,2.23562
225480,2500 PSI MAG B FLOWABLE,1,2016-06-24T10:43:45Z,3963.9825,31.3557,27.0433,2016-06-23T13:43:45Z,2.22954
230100,3000 PSI,1,2017-09-28T08:55:40Z,3959.67,30.7916,27.0312,2017-09-27T11:55:40Z,2.22832
230101,3000 PSI CART PATH,1,2016-06-24T11:08:13Z,3945.105,30.3414,26.9937,2016-06-24T05:08:13Z,2.22422
230104,3000 PSI DECK MIX,1,2016-06-24T11:51:14Z,3951.6075,29.3889,27.0289,2016-06-24T05:51:14Z,2.22605
230110,3000 PSI 25% ASH DECK,1,2016-06-24T11:53:00Z,-3950.67,30.3678,27.0304,2016-06-24T05:53:00Z,2.22579
120930,2 SACK - APS ENCASEMENT,3,2016-06-24T11:00:46Z,3878.8,17.926,27.0053,2016-06-24T05:00:46Z,2.20545
230120,3000 PSI,1,2016-06-24T11:54:01Z,-3950.9825,30.7043,27.0301,2016-06-24T05:54:01Z,2.22588
230150,3000 PSI .58 W/C FLOWABLE,1,2016-06-24T11:55:04Z,3964.67,32.9128,27.0545,2016-06-24T05:55:04Z,2.22973
125100,2500 PSI - NO FLY ASH,3,2016-06-24T11:00:47Z,3984.4825,29.0661,27.0234,2016-06-24T05:00:47Z,2.23529
230180,3000 PSI FLOWABLE,1,2016-06-24T11:55:51Z,3961.2325,31.7541,27.0505,2016-06-24T05:55:51Z,2.22876
230190,3000 PSI FLOWABLE NON CHLORIDE,1,2016-06-24T11:57:31Z,3960.2325,31.7509,27.0445,2016-06-24T05:57:31Z,2.22848
100900,ABC SLURRY,4,2016-06-24T11:03:54Z,3848.8,10.3976,27.011,2016-06-24T05:03:54Z,2.19691
230195,3000 PSI .58 W/C FLOWABLE N/C,1,2016-06-24T11:58:26Z,3973.545,33.4014,27.0561,2016-06-24T05:58:26Z,2.23222
230200,3000 PSI - 1/2 INCH,1,2016-06-24T12:00:06Z,3965.795,32.5414,27.031,2016-06-24T06:00:06Z,2.23005
230201,3000 PSI - 40% 1/2 INCH,1,2016-06-24T12:01:16Z,3958.3275,34.2461,27.0324,2016-06-24T06:01:16Z,2.22795
230300,3000 PSI - 3/8 INCH,1,2016-06-24T12:08:31Z,3965.795,31.167,27.031,2016-06-24T06:08:31Z,2.23005
230301,3000 PSI - 40% 3/8 INCH,1,2016-06-24T12:09:26Z,3958.3275,33.2645,27.0324,2016-06-24T06:09:26Z,2.22795
230400,3000 PSI - MAG A,1,2016-06-24T12:10:30Z,3967.795,32.525,27.0329,2016-06-24T06:10:30Z,2.23061
230402,3000 PSI MAG A - 1/2 INCH,1,2016-06-24T12:11:27Z,3966.795,32.5218,27.0269,2016-06-24T06:11:27Z,2.23033
230403,3000 PSI MAG A - 3/8 INCH,1,2016-06-24T12:13:27Z,3966.795,31.145,27.0269,2016-06-24T06:13:27Z,2.23033
230440,3000 PSI CLASS S,1,2016-06-24T12:14:34Z,3985.6375,34.4225,27.0338,2016-06-24T06:14:34Z,2.23562
230480,3000 PSI MAG A FLOWABLE,1,2016-06-24T12:15:36Z,3969.7325,33.7273,27.0568,2016-06-24T06:15:36Z,2.23115
230490,3000 PSI PT MIX W/ ASH,1,2016-06-24T13:48:38Z,3964.7325,33.7003,27.0267,2016-06-24T07:48:38Z,2.22975
230501,"3000 PSI 1"" EXPOSED",1,2016-06-24T13:50:38Z,3964.8575,32.5635,27.0257,2016-06-24T07:50:38Z,2.22978
230502,"3000 PSI 1/2"" EXPOSED",1,2016-06-24T13:51:49Z,3964.8575,32.5635,27.0257,2016-06-24T07:51:49Z,2.22978
105900,1/2 SACK ABC SLURRY,4,2016-06-24T11:03:56Z,3855.8,12.4036,27.0083,2016-06-24T05:03:56Z,2.1989
230503,3000 PSI 3/8 EXPOSED,1,2016-06-24T13:52:37Z,3964.795,30.9142,27.0248,2016-06-24T07:52:37Z,2.22977
235100,3500 PSI,1,2016-06-24T14:06:27Z,3958.795,32.455,27.0257,2016-06-24T08:06:27Z,2.22808
105930,1/2 SACK 3/8 DITCH FILL,4,2016-06-24T11:03:58Z,3828.49,11.594,27.0096,2016-06-24T05:03:58Z,2.1911
235110,3500 PSI DECK MIX,1,2016-06-24T14:07:20Z,3951.795,31.9486,27.03,2016-06-24T08:07:20Z,2.22611
235180,3500 PSI - FLOWABLE,1,2016-06-24T14:08:12Z,3960.545,33.5264,27.0474,2016-06-24T08:08:12Z,2.22857
235190,3500 PSI FLOWABLE N/C,1,2016-06-24T14:08:56Z,3960.545,33.5264,27.0474,2016-06-24T08:08:56Z,2.22857
235301,3500 PSI 40% 3/8,1,2016-06-24T14:09:40Z,3965.3275,34.9773,27.0363,2016-06-24T08:09:40Z,2.22991
240100,4000 PSI,1,2016-06-24T14:02:26Z,3965.92,34.208,27.0314,2016-06-24T08:02:26Z,2.23008
240102,4000 PSI,1,2016-06-24T14:01:10Z,4026.0725,37.8603,27.0324,2016-06-24T08:01:10Z,2.24693
240180,4000 PSI - FLOWABLE,1,2016-06-24T14:00:40Z,3967.795,35.363,27.0545,2016-06-24T08:00:40Z,2.23061
240182,4000 PSI FLOWABLE,1,2016-06-24T14:00:10Z,4027.6975,38.881100000000004,27.0522,2016-06-24T08:00:10Z,2.24738
240190,4000 PSI FLOWABLE NON CHLORIDE,1,2016-06-24T13:59:43Z,3967.795,35.363,27.0545,2016-06-24T07:59:43Z,2.23061
240400,4000 PSI MAG AA,1,2016-06-24T13:59:16Z,4003.2925,35.8725,27.0367,2016-06-24T07:59:16Z,2.24056
240440,4000 PSI CLASS S,1,2016-06-24T13:58:45Z,3985.6375,34.4225,27.0338,2016-06-24T07:58:45Z,2.23562
240480,4000 PSI MAG AA FLOWABLE,1,2016-06-24T13:58:17Z,4004.48,37.2828,27.0569,2016-06-24T07:58:17Z,2.2409
240490,4000 PSI MAG AA FLOWABLE N/C,1,2016-06-24T13:57:48Z,4004.48,37.2828,27.0569,2016-06-24T07:57:48Z,2.2409
240800,4.0 SACK RIP RAP GROUT,1,2016-06-24T13:57:20Z,3688.8025,24.0805,27.0292,2016-06-24T07:57:20Z,2.15076
245100,4500 PSI,1,2016-06-24T13:56:00Z,-3974.9825,35.7285,27.0319,2016-06-24T07:56:00Z,2.23263
245180,4500 PSI FLOWABLE,1,2016-06-24T13:55:34Z,3977.295,37.1376,28.5186,2016-06-24T07:55:34Z,2.23328
110900,1 SACK ABC SLURRY,4,2016-06-24T11:04:01Z,-3862.8,14.4096,27.0055,2016-06-24T05:04:01Z,2.2009
245190,4500 PSI FLOWABLE N/C,1,2016-06-24T13:55:07Z,3977.295,37.1554,27.062,2016-06-24T07:55:07Z,2.23328
250100,5000 PSI,1,2016-06-24T13:54:37Z,3975.17,38.474,27.0306,2016-06-24T07:54:37Z,2.23268
110930,1 SK APS ENCASEMENT,4,2016-06-24T11:04:02Z,3876.8,13.6304,27.0091,2016-06-24T05:04:02Z,2.20488
250180,5000 PSI - FLOWABLE,1,2016-06-24T13:54:07Z,3977.3575,39.8215,27.0576,2016-06-24T07:54:07Z,2.23329
250190,5000 PSI - FLOWABLE N/C,1,2016-06-24T13:49:13Z,3977.3575,39.8215,27.0576,2016-06-24T07:49:13Z,2.23329
260100,6000 PSI,1,2016-06-24T13:47:35Z,3992.545,43.8982,27.0373,2016-06-24T07:47:35Z,2.23755
260180,6000 PSI - FLOWABLE,1,2016-06-24T13:47:06Z,3995.4825,45.7913,27.0727,2016-06-24T07:47:06Z,2.23838
260190,6000 PSI - FLOWABLE N/C,1,2016-06-24T11:19:47Z,3995.4825,45.7913,27.0727,2016-06-24T05:19:47Z,2.23838
260800,6.0 SACK GROUT,1,2016-06-24T11:19:27Z,3704.3025,31.3405,27.0351,2016-06-24T05:19:27Z,2.15527
260815,6.0 SACK GROUT - 15% FLY ASH,1,2016-06-24T11:19:01Z,-3724.365,32.6346,27.0404,2016-06-24T05:19:01Z,2.1611
265700,6.5 SACK SHOTCRETE,1,2016-06-24T11:18:31Z,3742.3575,33.2261,27.0314,2016-06-24T05:18:31Z,2.16631
265700F,6.5 SACK SHOTCRETE - FIBERS,1,2016-06-24T11:17:41Z,3743.3575,33.3139,27.0367,2016-06-24T05:17:41Z,2.1666
265740,3000 PSI - MAG- SHOTCRETE,1,2016-06-24T11:16:46Z,3766.3575,34.7715,27.039,2016-06-24T05:16:46Z,2.17325
265800,6.5 SACK GROUT,1,2016-06-24T11:16:16Z,3702.4275,32.7149,27.0429,2016-06-24T05:16:16Z,2.15473
270700,7.0 SACK SHOTCRETE,1,2016-06-24T11:15:43Z,3740.42,34.5752,27.0381,2016-06-24T05:15:43Z,2.16575
270800,7.0 SACK GROUT,1,2016-06-24T11:15:13Z,3702.615,34.3618,27.04,2016-06-24T05:15:13Z,2.15478
270820,2000 PSI C-476 GROUT,1,2016-06-24T11:14:45Z,3702.615,34.3618,27.04,2016-06-24T05:14:45Z,2.15478
275815,3000 PSI 7.5 SACK GROUT 15%ASH,1,2016-06-24T11:14:12Z,3738.74,38.2706,27.0442,2016-06-24T05:14:12Z,2.16527
280800,8.0 SACK GROUT,1,2016-06-24T11:13:43Z,3704.74,37.5624,27.0431,2016-06-24T05:13:43Z,2.1554
115930,1.5 SACK APS ENCASEMENT,4,2016-06-24T11:04:04Z,3870.8,15.61,27.0087,2016-06-24T05:04:04Z,2.20318
290700,9.0 SACK SHOTCRETE,1,2016-06-24T11:13:08Z,3757.92,41.9892,27.0423,2016-06-24T05:13:08Z,2.17081
290800,9.0 SACK GROUT,1,2016-06-24T11:12:41Z,3714.9275,41.2963,27.0487,2016-06-24T05:12:41Z,2.15836
120100,2000 PSI-NO FLY ASH,4,2016-06-24T11:04:06Z,3971.2325,25.5761,27.0178,2016-06-24T05:04:06Z,2.23157
290801,9 SK SAND GROUT,1,2016-06-24T11:12:20Z,3676.0525,42.0883,27.0497,2016-06-24T05:12:20Z,2.14704
325401,2500 PSI MAG B NO ASH MACHINE,1,2016-06-24T11:11:21Z,3932.16,32.1716,27.0226,2016-06-24T05:11:21Z,2.22057
120400,2000 PSI - MAG C - NO FLY ASH,4,2016-06-24T11:04:08Z,3984.4825,29.0661,27.0234,2016-06-24T05:04:08Z,2.23529
330401,3000 PSI MAG A NO ASH MACHINE,1,2016-06-24T11:10:50Z,3941.3475,34.3751,27.0318,2016-06-24T05:10:50Z,2.22316
425300,2500 PSI 3/8 INCH EXTRUDER,1,2016-06-24T11:09:31Z,3911.85,28.7148,27.0294,2016-06-24T05:09:31Z,2.21483
425401,2500 PSI MAG B MACHINE,1,2017-01-07T14:06:19Z,3903.2225,30.659300000000002,27.0305,2017-01-07T08:06:19Z,2.21238
425441,2500 PSI ADOT CLASS B MACHINE,1,2016-06-24T11:08:06Z,3913.1,32.0116,27.0298,2016-06-24T05:08:06Z,2.21518
