"code","year","income_group","gross_savings"
"ISR",2010,"High income",22.064
"ITA",2010,"High income",17.121
"JAM",2010,"Upper middle income",13.41
"JOR",2010,"Upper middle income",18.381
"JPN",2010,"High income",25.174
"KAZ",2010,"Upper middle income",26.309
"KEN",2010,"Lower middle income",14.809
"KGZ",2010,"Lower middle income",24.869
"KHM",2010,"Lower middle income",10.521
"KIR",2010,"Lower middle income",
"KNA",2010,"High income",13.133
"KOR",2010,"High income",34.659
"KWT",2010,"High income",50.831
"LAO",2010,"Lower middle income",
"LBN",2010,"Upper middle income",3.847
"LBR",2010,"Low income",
"LBY",2010,"Upper middle income",
"LCA",2010,"Upper middle income",11.734
"LKA",2010,"Lower middle income",28.457
"LSO",2010,"Lower middle income",16.421
"LTU",2010,"High income",17.671
"LUX",2010,"High income",24.899
"LVA",2010,"High income",21.365
"MAC",2010,"High income",
"MAR",2010,"Lower middle income",29.7
"MDA",2010,"Lower middle income",16.001
"MDG",2010,"Low income",13.74
"MDV",2010,"Upper middle income",6.844
"MEX",2010,"Upper middle income",21.555
"MHL",2010,"Upper middle income",
"MKD",2010,"Upper middle income",22.443
"MLI",2010,"Low income",13.306
"MLT",2010,"High income",18.954
"MMR",2010,"Lower middle income",23.184
"MNE",2010,"Upper middle income",-1.246
"MNG",2010,"Lower middle income",26.881
"MOZ",2010,"Low income",8.081
"MRT",2010,"Lower middle income",30.703
"MUS",2010,"Upper middle income",14.27
"MWI",2010,"Low income",26.25
"MYS",2010,"Upper middle income",33.468
"NAM",2010,"Upper middle income",20.709
"NER",2010,"Low income",25.45
"NGA",2010,"Lower middle income",20.843
"NIC",2010,"Lower middle income",15.542
"NLD",2010,"High income",27.798
"NOR",2010,"High income",36.27
"NPL",2010,"Low income",35.909
"NRU",2010,"High income",
"NZL",2010,"High income",24.648
"OMN",2010,"High income",33.761
"PAK",2010,"Lower middle income",13.577
"PAN",2010,"Upper middle income",26.436
"PER",2010,"Upper middle income",22.505
"PHL",2010,"Lower middle income",24.138
"PLW",2010,"Upper middle income",
"PNG",2010,"Lower middle income",
"POL",2010,"High income",15.913
"PRI",2010,"High income",
"PRT",2010,"High income",10.709
"PRY",2010,"Upper middle income",15.905
"QAT",2010,"High income",50.419
"ROU",2010,"Upper middle income",21.755
"RUS",2010,"Upper middle income",24.417
"RWA",2010,"Low income",6.369
"SAU",2010,"High income",43.414
"SDN",2010,"Lower middle income",17.259
"SEN",2010,"Low income",17.708
"SGP",2010,"High income",51.68
"SLB",2010,"Lower middle income",12.799
"SLE",2010,"Low income",9.581
"SLV",2010,"Lower middle income",10.831
"SMR",2010,"High income",
"SRB",2010,"Upper middle income",12.102
"SSD",2010,"Low income",
"STP",2010,"Lower middle income",32.965
"SUR",2010,"Upper middle income",50.552
"SVK",2010,"High income",19.303
"SVN",2010,"High income",22.121
"SWE",2010,"High income",28.876
"SWZ",2010,"Lower middle income",3.179
"SYC",2010,"High income",17.241
"SYR",2010,"Lower middle income",23.845
"TCD",2010,"Low income",25.871
"TGO",2010,"Low income",17.634
"THA",2010,"Upper middle income",28.724
"TJK",2010,"Lower middle income",6.999
"TKM",2010,"Upper middle income",
"TLS",2010,"Lower middle income",
"TON",2010,"Lower middle income",
"TTO",2010,"High income",13.168
"TUN",2010,"Lower middle income",20.825
"TUR",2010,"Upper middle income",21.334
"TUV",2010,"Upper middle income",
"TZA",2010,"Low income",21.248
"UGA",2010,"Low income",18.7
"UKR",2010,"Lower middle income",18.654
"URY",2010,"High income",17.593
"USA",2010,"High income",15.086
"UZB",2010,"Lower middle income",37.267
"VCT",2010,"Upper middle income",-1.591
"VEN",2010,"Upper middle income",31.591
"VNM",2010,"Lower middle income",31.902
"VUT",2010,"Lower middle income",
"WSM",2010,"Lower middle income",
"YEM",2010,"Lower middle income",8.25
"ZAF",2010,"Upper middle income",18.012
"ZMB",2010,"Lower middle income",37.404
"ZWE",2010,"Low income",16.109
