company,bean_origin,cocoa_percent,company_location,rating,bean_type,broad_bean_origin
Guittard,Los Rios- Quevedo,0.65,U.S.A.,2.75,Forastero (Arriba),Ecuador
Guittard,Tsaranta,0.61,U.S.A.,3.25,Blend,Unknown
Guittard,Semisweet,0.61,U.S.A.,3.5,Blend,Unknown
Jacque Torres,Trinatario Treasure,0.71,U.S.A.,3.5,Trinitario,Ghana
Michel Cluizel,Carre Amer,0.6,France,2.75,Unknown,Unknown
Michel Cluizel,Carre Grand Noir,0.85,France,3,Unknown,Unknown
Michel Cluizel,Tamarina,0.7,France,3,Forastero,Sao Tome
Michel Cluizel,Los Ancones P.,0.67,France,2.75,Unknown,Dominican Republic
Michel Cluizel,Mangaro P.,0.65,France,2.75,Trinitario,Madagascar
Michel Cluizel,Maralumi P.,0.64,France,3.75,Unknown,Papua New Guinea
Michel Cluizel,Noir Infini,0.99,France,2.5,Unknown,Unknown
Neuhaus (Callebaut),West Africa,0.73,Belgium,2.5,Forastero,West Africa
Neuhaus (Callebaut),Sao Tome,0.75,Belgium,2.75,Forastero,Sao Tome
Neuhaus (Callebaut),Ocumare,0.71,Belgium,2.75,Criollo,Venezuela
Original Hawaiin Chocolate Factory,Hawai'i- Kona Estate Grown,0.6,U.S.A.,3,Unknown,Hawaii
Pierre Marcolini,Porcelana- Tabasco- Limited Ed.,0.72,Belgium,3.5,Criollo,Mexico
Pierre Marcolini,Kendem Lembu- Java,0.72,Belgium,3.5,Criollo,Indonesia
Pierre Marcolini,Ocumare- Puerto Cabello- Venezuela,0.72,Belgium,3.5,Criollo,Venezuela
Pralus,Monte Alegre (Itacare)- Brazil,0.75,France,3.5,Forastero,Brazil
Pralus,Tanzania,0.75,France,2.5,Criollo,Tanzania
Pralus,Sao Tome & Principe,0.75,France,2.5,Forastero,Sao Tome & Principe
Pralus,Trinidad,0.75,France,2.5,Trinitario,Trinidad
Pralus,Madagascar- Nosy Be Isle.,0.75,France,2.75,Criollo,Madagascar
Pralus,Java- Indonesie,0.75,France,2.75,Criollo,Indonesia
Pralus,Barlovento- Venezuela,0.75,France,3,Trinitario,Venezuela
Pralus,Jamaique,0.75,France,3,Trinitario,Jamaica
Pralus,Equateur,0.75,France,3,Trinitario,Ecuador
Pralus,Vanuatu,0.75,France,3.25,Trinitario,Vanuatu
Pralus,Ghana,0.75,France,3.25,Forastero,Ghana
Pralus,Colombie,0.75,France,2.75,Trinitario,Colombia
Pralus,Fortissima,0.8,France,3,Criollo- Trinitario,Ecuador
Pralus,Cuba,0.75,France,3,Trinitario,Cuba
Pralus,Caracas- Venezuela and Ghana,0.75,France,3,Trinitario- Forastero,Venezuela- Ghana
Pralus,Djakarta- Java and Ghana,0.75,France,3.5,Criollo- Forastero,Indonesia- Ghana
Santander (Compania Nacional),Colombian Semi Dark,0.53,Colombia,3.75,Forastero (Nacional),Colombia
Santander (Compania Nacional),Colombian,0.65,Colombia,3.75,Forastero (Nacional),Colombia
Santander (Compania Nacional),Colombian Dark,0.7,Colombia,4,Forastero (Nacional),Colombia
Scharffen Berger,Extra Dark,0.82,U.S.A.,4,Unknown,Unknown
Scharffen Berger,Bittersweet,0.7,U.S.A.,2.75,Blend,Unknown
Scharffen Berger,Kumasi Sambirano,0.68,U.S.A.,2.75,Blend,Ghana & Madagascar
Scharffen Berger,Jamaica a l'ancienne,0.7,U.S.A.,3,Trinitario,Jamaica
Scharffen Berger,Semisweet,0.62,U.S.A.,3,Blend,Unknown
Valrhona,Caraibe,0.66,France,3.25,Trinitario,Carribean
Valrhona,Guanaja,0.7,France,3.5,Criollo- Trinitario,South America
Valrhona,Gran Couva 2005 P.,0.64,France,3,Trinitario,Trinidad
Valrhona,Porcelana- Maracaibo- Palmira P. 2005,0.64,France,3.25,Criollo (Porcelana),Venezuela
Valrhona,Sambirano- Ampamakia 2005- Millot P.,0.64,France,3.25,Trinitario,Madagascar
Amano,Madagascar,0.7,U.S.A.,3.25,Trinitario,Madagascar
Amano,Cuyagua,0.7,U.S.A.,3.25,Unknown,Venezuela
Amano,Ocumare,0.7,U.S.A.,3.5,Criollo,Venezuela
Amedei,Porcelana,0.7,Italy,3,Criollo (Porcelana),Venezuela
Amedei,Nine,0.75,Italy,3,Blend,Unknown
Amedei,Chuao,0.7,Italy,3.5,Trinitario,Venezuela
Amedei,Ecuador,0.7,Italy,3.5,Trinitario,Ecuador
Amedei,Jamaica,0.7,Italy,3.5,Trinitario,Jamaica
Amedei,Grenada,0.7,Italy,3.75,Trinitario,Grenada
Amedei,Venezuela,0.7,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,0.7,Italy,4,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,0.7,Italy,4,Trinitario,Trinidad
Amedei,Toscano Black,0.63,Italy,4,Blend,Unknown
Askinosie,Xoconusco,0.75,U.S.A.,4,Trinitario,Mexico
Askinosie,San Jose del Tambo,0.7,U.S.A.,5,Forastero (Arriba),Ecuador
Bonnat,Equateur,0.75,France,5,Forastero (Arriba),Ecuador
Cacao Barry,Venezuela,0.72,France,2.75,Unknown,Venezuela
Cacao Barry,Mexico,0.66,France,3.25,Unknown,Mexico
Callebaut,Baking,0.7,Belgium,3.75,Unknown,Ecuador
Chocovic,Bolivar- Guaranda,0.71,Spain,3.75,Forastero (Arriba),Ecuador
Chocovic,Guyave,0.71,Spain,4,Trinitario,Grenada
Chocovic,Maragda,0.7,Spain,3,Blend,Unknown
Coppeneur,Sambirano- Menava P.,0.72,Germany,3.5,Trinitario,Madagascar
Dean and Deluca (Belcolade),Madagascar,0.66,U.S.A.,2.5,Trinitario,Madagascar
Dean and Deluca (Belcolade),Costa Rica,0.64,U.S.A.,2.75,Unknown,Costa Rica
Dean and Deluca (Belcolade),Ecuador,0.71,U.S.A.,3,Unknown,Ecuador
Dean and Deluca (Belcolade),Ghana,0.6,U.S.A.,3,Forastero,Ghana
Dean and Deluca (Belcolade),Papua New Guinea,0.64,U.S.A.,2.75,Unknown,Papua New Guinea
Dean and Deluca (Belcolade),Peru,0.64,U.S.A.,3.25,Unknown,Peru
DeVries,Costa Rica,0.77,U.S.A.,3.25,Trinitario,Costa Rica
DeVries,Dominican Republic,0.77,U.S.A.,3.25,Unknown,Dominican Republic
Domori,Porcelana,0.7,Italy,3.25,Criollo (Porcelana),Venezuela
Domori,Ocumare 61- Puertomar,0.75,Italy,3.25,Criollo (Ocumare 61),Venezuela
Domori,Granella,0.6,Italy,3.5,Trinitario,Venezuela
Domori,Madagascar,0.7,Italy,3.5,Trinitario,Madagascar
Domori,Madagared,0.7,Italy,3.5,Criollo,Madagascar
Domori,Java- Javablond,0.7,Italy,3.5,Criollo,Indonesia
Domori,Ecuador,0.7,Italy,3.5,Forastero (Arriba),Ecuador
Domori,Ocumare 67- Puertofino,0.7,Italy,3.5,Criollo (Ocumare 67),Venezuela
Guittard,Quetzalcoatl,0.72,U.S.A.,3.5,Blend,Unknown
Hachez,Arriba,0.77,Germany,3.5,Forastero (Arriba),Ecuador
Lindt & Sprungli,Excellence (US Version),0.85,Switzerland,3.75,Unknown,Unknown
Malagasy (Chocolaterie Robert),Sambirano 2006,0.75,Madagascar,3.75,Trinitario,Madagascar
Malagasy (Chocolaterie Robert),Mora Mora 2006,0.73,Madagascar,3.75,Trinitario,Madagascar
Michel Cluizel,Carenero Superior- Concepcion,0.66,France,3.75,Trinitario,Venezuela
Michel Cluizel,Vila Gracinda,0.67,France,3.75,Forastero,Sao Tome
Neuhaus (Callebaut),Dark,0.73,Belgium,4,Unknown,Unknown
Patric,Madagascar,0.7,U.S.A.,4,Trinitario,Madagascar
Pierre Marcolini,Cabosse,0.7,Belgium,4,Blend,Venezuela- Java
Pierre Marcolini,Los Rios- Puerto Romero- Equateur,0.72,Belgium,1.75,Forastero (Nacional),Ecuador
Pierre Marcolini,Sambirano- Ambanja- Madagascar,0.72,Belgium,1.75,Trinitario,Madagascar
Pierre Marcolini,Fleur de Cacao,0.85,Belgium,2.5,Blend,Venezuela/ Ghana
Pralus,Claudio Corallo w/ nibs,0.75,France,2.75,Forastero,Sao Tome
Republica del Cacao (aka Confecta),Manabi,0.75,Ecuador,2.75,Forastero (Arriba),Ecuador
Republica del Cacao (aka Confecta),El Oro,0.67,Ecuador,3,Forastero (Arriba),Ecuador
Republica del Cacao (aka Confecta),Los Rios,0.75,Ecuador,3,Forastero (Arriba),Ecuador
Scharffen Berger,Las Islas,0.72,U.S.A.,3.25,Blend,Carribean(DR/Jam/Tri)
Scharffen Berger,Nibby,0.62,U.S.A.,3.25,Unknown,Unknown
Scharffen Berger,Cuyagua,0.75,U.S.A.,3.25,Unknown,Venezuela
Scharffen Berger,Antilles (Trin/Gren/DR/Ven),0.75,U.S.A.,3.25,Blend,Carribean
Taza,Dark- Stone Ground,0.7,U.S.A.,3.5,Unknown,Dominican Republic
Theo,Madagascar,0.65,U.S.A.,3.75,Trinitario,Madagascar
Theo,Ivory Coast,0.75,U.S.A.,3.75,Unknown,Ivory Coast
Theo,Ghana- Kumasi,0.84,U.S.A.,3.75,Forastero,Ghana
Theo,Ghana- Panama- Ecuador,0.75,U.S.A.,4,Blend,Ghana- Panama- Ecuador
Valrhona,Araguani,0.72,France,2.75,Blend,Venezuela- Carribean
Valrhona,Chuao 2002 P.,0.65,France,2.5,Trinitario,Venezuela
Valrhona,Manjari,0.64,France,3,Criollo- Trinitario,Madagascar
Valrhona,Le Noir Extra Amer,0.85,France,3.75,Unknown,Unknown
Valrhona,Abinao,0.85,France,3.75,Forastero,West Africa
Valrhona,Le Noir Amer,0.71,France,3.75,Forastero,West Africa
Valrhona,Porcelana- Maracaibo- Palmira P. 2006,0.64,France,3.75,Criollo (Porcelana),Venezuela
Vintage Plantations (Tulicorp),Los Rios- Rancho Grande 2004/2007,1,U.S.A.,2.5,Forastero (Arriba),Ecuador
Vintage Plantations (Tulicorp),Los Rios- Rancho Grande 2004/2007,0.9,U.S.A.,2.5,Forastero (Arriba),Ecuador
Vintage Plantations (Tulicorp),Los Rios- Rancho Grande 2004/2007,0.75,U.S.A.,3,Forastero (Arriba),Ecuador
Vintage Plantations (Tulicorp),Los Rios- Rancho Grande 2007,0.65,U.S.A.,3.25,Forastero (Arriba),Ecuador
Amano,Bali- Jembrana,0.7,U.S.A.,3.5,Unknown,Indonesia
Artisan du Chocolat,Congo,0.72,U.K.,2.75,Forastero,Congo
Bittersweet Origins,Sambirano,0.71,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,0.75,U.S.A.,3.25,Unknown,Panama
Bittersweet Origins,Puerto Plata,0.68,U.S.A.,3.5,Unknown,Dominican Republic
Bittersweet Origins,Ankasa,0.7,U.S.A.,3.5,Forastero,Ghana
Black Mountain,La Red,0.7,U.S.A.,3.75,Unknown,Dominican Republic
Black Mountain,Carenero Superior,0.7,U.S.A.,4,Trinitario,Venezuela
Black Mountain,Matiguas,0.7,U.S.A.,2.75,Unknown,Nicaragua
Bonnat,Porcelana- Venezuela,0.75,France,3.25,Criollo (Porcelana),Venezuela
Cacao Barry,Tanzania,0.75,France,3.5,Unknown,Tanzania
Cacaoyere (Ecuatoriana),Amazonia,0.63,Ecuador,3.75,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,0.71,Ecuador,3,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,0.82,Ecuador,3.25,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,0.91,Ecuador,2.75,Forastero (Arriba),Ecuador
Callebaut,Grenade,0.6,Belgium,2.75,Trinitario,Grenada
Caoni (Tulicorp),Esmeraldas,0.77,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,0.77,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,0.77,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,0.55,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,0.55,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Esmeraldas,0.55,Ecuador,3.5,Forastero (Arriba),Ecuador
Chchukululu (Tulicorp),Los Rios,0.75,Ecuador,3.25,Forastero (Arriba),Ecuador
Chocovic,Ocumare,0.71,Spain,3.5,Criollo,Venezuela
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,0.8,Sao Tome,3.5,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,0.75,Sao Tome,2.75,Forastero,Sao Tome & Principe
Claudio Corallo,Principe,1,Sao Tome,3,Forastero,Sao Tome & Principe
Compania de Chocolate (Salgado),Carenero Superior,0.8,Argentina,3.5,Trinitario,Venezuela
Compania de Chocolate (Salgado),Moxos,0.72,Argentina,3.5,Unknown,Bolivia
Compania de Chocolate (Salgado),Ocumare,0.7,Argentina,3.5,Criollo,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,0.88,Argentina,3.5,Forastero (Nacional),Ecuador
Coppeneur,Porcelana- Tabasco- Mexico,0.72,Germany,3.75,Criollo,Mexico
Coppeneur,Porcelana- Venezuela,0.72,Germany,4,Criollo (Porcelana),Venezuela
Debauve & Gallais (Michel Cluizel),Venezuela,0.66,France,4,Unknown,Venezuela
DeVries,Bolivian,0.8,U.S.A.,2.75,Unknown,Bolivia
Dolfin (Belcolade),Africa,0.88,Belgium,3,Forastero,West Africa
Domori,Carupano- H. San Jose,0.7,Italy,3,Trinitario,Venezuela
Domori,Teyuna,0.7,Italy,3.25,Unknown,Colombia
Domori,Blend No. 1,0.78,Italy,3.25,Blend,Unknown
Domori,Ilblend,0.7,Italy,3.5,Blend,Unknown
El Ceibo,Alto Beni,0.71,Bolivia,3.5,Unknown,Bolivia
El Rey,Carenero Superior- Apamate,0.74,Venezuela,3.5,Criollo,Venezuela
El Rey,Carenero Superior- Bucare,0.58,Venezuela,4,Criollo,Venezuela
El Rey,Carenero Superior- Mijao,0.61,Venezuela,2.5,Criollo,Venezuela
Escazu,Ocumare,0.72,U.S.A.,2.5,Criollo,Venezuela
Grenada Chocolate Co.,Grenada,0.71,Grenada,2.5,Trinitario,Grenada
Guittard,Machu Pichu,0.65,U.S.A.,3.25,Unknown,Peru
Guittard,Special Maker Reserve,0.64,U.S.A.,2.75,Unknown,Unknown
Guittard,Ocumare,0.65,U.S.A.,3,Unknown,Venezuela
Hotel Chocolat (Coppeneur),St. Lucia,0.72,U.K.,3,Unknown,St. Lucia
Hotel Chocolat (Coppeneur),Uganda,0.8,U.K.,3,Forastero,Uganda
Hotel Chocolat (Coppeneur),Tanzania,0.75,U.K.,3,Unknown,Tanzania
Hotel Chocolat (Coppeneur),Uba Budo,0.72,U.K.,3,Forastero,Sao Tome
Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,0.7,Ecuador,3.25,Unknown,Ecuador
Kallari (Ecuatoriana),Sisa's Secret/ original micro,0.7,Ecuador,3.25,Unknown,Ecuador
Kallari (Ecuatoriana),Roberto,0.75,Ecuador,3.5,Unknown,Ecuador
Kallari (Ecuatoriana),Diego/ original micro,0.85,Ecuador,3.5,Unknown,Ecuador
Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,0.85,Ecuador,3.5,Unknown,Ecuador
Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,0.85,Ecuador,3.5,Unknown,Ecuador
Kallari (Ecuatoriana),Cacao Nacional W.F.,0.75,Ecuador,3.75,Unknown,Ecuador
Kallari (Ecuatoriana),Cacao Nacional W.F.,0.85,Ecuador,3.75,Unknown,Ecuador
La Maison du Chocolat (Valrhona),Cuana- 2008,0.74,France,2.75,Blend,Ven.- Indonesia- Ecuad.
Madecasse (Cinagra),Madagascar,0.67,Madagascar,2.75,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,0.7,Madagascar,3,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,0.63,Madagascar,2.75,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,0.75,Madagascar,2.75,Trinitario,Madagascar
Maglio,Africa,0.75,Italy,3.5,Unknown,Tanzania
Maglio,Ecuador,0.7,Italy,2.75,Forastero (Nacional),Ecuador
Maglio,Cuba,0.7,Italy,3,Criollo,Cuba
Maglio,Santo Domingo,0.7,Italy,3.5,Blend-Forastero-Criollo,Dominican Republic
Neuhaus (Callebaut),Manickchand Estate,0.67,Belgium,3.5,Trinitario,Trinidad
Pacari,Esmeraldas,0.6,Ecuador,3.5,Forastero (Arriba),Ecuador
Pacari,Manabi,0.65,Ecuador,3.75,Forastero (Arriba),Ecuador
Pacari,Los Rios,0.72,Ecuador,1.5,Forastero (Arriba),Ecuador
Pacari,Raw,1,Ecuador,2.5,Forastero (Arriba),Ecuador
Pacari,Raw,0.7,Ecuador,2.75,Forastero (Arriba),Ecuador
Pralus,Papouasie,0.75,France,3,Trinitario,Papua New Guinea
Pralus,Sambirano Valley- Le 100%,1,France,3,Criollo,Madagascar
Pralus,Dominican Republic-Organic,0.75,France,3,Unknown,Dominican Republic
Pralus,Monte Alegre- Diego Badero,0.75,France,3,Unknown,Brazil
Rogue,Hispaniola- 2008,0.7,U.S.A.,3.25,Unknown,Dominican Republic
Rogue,Jamaica,0.7,U.S.A.,3.25,Trinitario,Jamaica
Rogue,Sambirano- 2008,0.7,U.S.A.,3.25,Trinitario,Madagascar
Rogue,Trinidad,0.7,U.S.A.,3.5,Trinitario,Trinidad
Salgado,Bahia Superior,0.7,Argentina,3.5,Forastero,Brazil
Salgado,Esmeraldas,0.7,Argentina,3.5,Forastero (Nacional),Ecuador
Salgado,Carenero Superior,0.7,Argentina,3.5,Trinitario,Venezuela
Salgado,Rio Arriba,0.7,Argentina,3.5,Forastero (Arriba) ASSS,Ecuador
Scharffen Berger,Finisterra,0.72,U.S.A.,3.5,Blend,Ven.- Trinidad- Mad.
TCHO,Chocolatey-beta,0.7,U.S.A.,3.75,Forastero,Ghana
TCHO,Fruity-beta,0.7,U.S.A.,3.75,Unknown,Peru
TCHO,Citrus-beta,0.7,U.S.A.,3.75,Unknown,Madagascar
TCHO,Nutty-beta,0.7,U.S.A.,4,Unknown,Peru
Aequare (Gianduja),Los Rios- Quevedo- Arriba,0.55,Ecuador,4,Forastero (Arriba),Ecuador
Aequare (Gianduja),Los Rios- Quevedo- Arriba,0.7,Ecuador,4,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,0.7,Mexico,4,Criollo,Mexico
Amano,Montanya,0.7,U.S.A.,4,Unknown,Venezuela
Amatller (Simon Coll),Ghana,0.7,Spain,4,Forastero,Ghana
Amatller (Simon Coll),Ecuador,0.7,Spain,4,Unknown,Ecuador
Amatller (Simon Coll),Ecuador,0.85,Spain,4,Unknown,Ecuador
Amatller (Simon Coll),Ghana,0.85,Spain,1.5,Forastero,Ghana
Artisan du Chocolat,Ocumare- Venezuela,0.75,U.K.,3.25,Criollo- Trinitario,Venezuela
Artisan du Chocolat,Java,0.72,U.K.,2.75,Trinitario,Indonesia
Artisan du Chocolat,Brazil Rio Doce,0.72,U.K.,2.75,Unknown,Brazil
Artisan du Chocolat,Madagascar,0.8,U.K.,3,Criollo- Trinitario,Madagascar
Artisan du Chocolat,Peru,0.75,U.K.,3.25,Criollo,Peru
Artisan du Chocolat,Dominican Republic,0.72,U.K.,3.5,Trinitario,Dominican Republic
Askinosie,Davao,0.77,U.S.A.,3.5,Trinitario,Philippines
Bittersweet Origins,Puerto Plata,0.75,U.S.A.,3.5,Unknown,Dominican Republic
Bittersweet Origins,Puerto Plata,0.65,U.S.A.,3.75,Unknown,Dominican Republic
Bittersweet Origins,Sambirano,0.75,U.S.A.,3.75,Trinitario,Madagascar
Bittersweet Origins,Sambirano,0.65,U.S.A.,3.75,Trinitario,Madagascar
Blanxart,Organic Dark,0.72,Spain,4,Unknown,Unknown
Bonnat,Ivory Coast,0.75,France,2.75,Unknown,Ivory Coast
Bonnat,Porcelana- Apotequil,0.75,France,3,Criollo,Peru
Bonnat,Porcelana- Tabasco- Marfil de Blanco,0.75,France,3.25,Criollo,Mexico
Bonnat,Xoconusco- cacao Real,0.75,France,3.25,Criollo,Mexico
Bouga Cacao (Tulicorp),El Oro- Hacienda de Oro,0.77,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),El Oro- Hacienda de Oro,1,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacao Sampaka,Porcelana- Tabasco- La Joya,0.7,Spain,3,Criollo,Mexico
Cacao Sampaka,Xoconusco- Chiapas,0.7,Spain,2.75,Criollo,Mexico
Cemoi,Equateur,0.72,France,3,Unknown,Ecuador
Chocovic,Kendari,0.6,Spain,3.5,Unknown,Unknown
Chocovic,Tarakan,0.75,Spain,3.5,Unknown,Unknown
Choklat,Ocumare,0.8,Canada,3.25,Criollo,Venezuela
Choklat,Porcelana- Tabasco,0.7,Canada,2.75,Criollo,Mexico
Choklat,Brazilian,0.7,Canada,2.5,Unknown,Brazil
Choklat,Brazilian,0.8,Canada,3.25,Unknown,Brazil
Choklat,Ocumare,0.7,Canada,3.25,Criollo,Venezuela
Chuao Chocolatier,Choroni,0.61,U.S.A.,3.25,Criollo,Venezuela
Coppeneur,Porcelana- Apotequil,0.72,Germany,3.5,Criollo,Peru
Coppeneur,Porcelana- Apotequil,0.62,Germany,2.5,Criollo,Peru
Coppeneur,Chuao 100hr,0.7,Germany,2.25,Criollo- Trinitario,Venezuela
Coppeneur,Chuao 70hr,0.7,Germany,2.5,Criollo- Trinitario,Venezuela
Danta,Las Acacias E.,0.75,Guatemala,2.5,Criollo,Guatemala
Danta,Las Acacias E.,0.6,Guatemala,2.75,Criollo,Guatemala
Debauve & Gallais (Michel Cluizel),Papua New Guinea,0.64,France,2,Unknown,Papua New Guinea
Dole (Guittard),O'ahu- N. Shore- Waialua Estate,0.7,U.S.A.,2,Unknown,Hawaii
El Rey,Rio Caribe- Cariaco,0.65,Venezuela,3,Trinitario,Venezuela
El Rey,Rio Caribe- Macuro,0.7,Venezuela,3,Trinitario,Venezuela
Escazu,Guapiles,0.65,U.S.A.,3.5,Unknown,Costa Rica
Escazu,Carenero Superior,0.81,U.S.A.,3.25,Criollo,Venezuela
Escazu,Carenero- Guapiles- Ocumare blend,0.74,U.S.A.,3.5,Unknown,Cost Rica- Ven
Fresco,Jamaica- #204- DR- SC,0.8,U.S.A.,3.5,Trinitario,Jamaica
Fresco,Jamaica- #206- DR- LC,0.7,U.S.A.,3.75,Trinitario,Jamaica
Fresco,Jamaica- #205- DR- MC,0.7,U.S.A.,3.25,Trinitario,Jamaica
Fresco,Carenero Superior- #203- MR- SC,0.65,U.S.A.,2.75,Criollo,Venezuela
Grenada Chocolate Co.,Grenada,0.6,Grenada,3.25,Trinitario,Grenada
Guido Castagna,Arriba,0.64,Italy,3.5,Forastero (Arriba) ASS,Ecuador
Guido Castagna,Ghana,0.64,Italy,3.5,Forastero,Ghana
Guido Castagna,Trinidad & Tobago,0.64,Italy,3.75,Unknown,Trinidad- Tobago
Guido Castagna,Lacri Blend,0.76,Italy,3.75,Unknown,Venezuela
Guido Castagna,Blend,0.64,Italy,3.75,Unknown,Ven- Trinidad- Ecuador
Guittard,O'ahu- N. Shore- Waialua E.- Kakoleka,0.55,U.S.A.,3.5,Unknown,Hawaii
Guittard,Nocturne,0.91,U.S.A.,3,Unknown,Unknown
Guittard,Complexite,0.7,U.S.A.,3.25,Blend,Unknown
Hoja Verde (Tulicorp),Arriba,0.8,Ecuador,3.75,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Manabi,0.8,Ecuador,3.75,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Arriba,0.72,Ecuador,3.25,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Arriba,0.58,Ecuador,3.5,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Manabi,0.58,Ecuador,3.5,Forastero (Arriba) ASS,Ecuador
Holy Cacao,Ivory Coast,0.7,Israel,3.5,Unknown,Ivory Coast
Holy Cacao,Hispaniola,0.7,Israel,3.5,Unknown,Dominican Republic
Holy Cacao,San Martin,0.7,Israel,3.75,Unknown,Peru
Holy Cacao,Hispaniola w/ nibs,0.75,Israel,4,Unknown,Dominican Republic
Kakao,Vanuatu,0.65,Germany,4,Trinitario,Vanuatu
Kaoka (Cemoi),Noir,0.7,France,4,Unknown,Unknown
Kaoka (Cemoi),Ecuador,0.8,France,3,Unknown,Ecuador
Ki' Xocolatl,Dark,0.72,Mexico,3.25,Unknown,Mexico
L.A. Burdick (Felchlin),Madagascar,0.64,U.S.A.,3.5,Trinitario,Madagascar
L.A. Burdick (Felchlin),Bolivian,0.68,U.S.A.,3.25,Unknown,Bolivia
La Maison du Chocolat (Valrhona),Akosombo,0.68,France,1.5,Forastero,Ghana
La Maison du Chocolat (Valrhona),Porcelana- Pariguan,0.69,France,2.5,Criollo (Porcelana),Venezuela
La Maison du Chocolat (Valrhona),Kuruba,0.6,France,3.5,Unknown,Unknown
La Maison du Chocolat (Valrhona),Orinoco,0.6,France,3.5,Unknown,Unknown
Lake Champlain (Callebaut),Tanzania,0.75,U.S.A.,1,Unknown,Tanzania
Malie Kai (Guittard),O'ahu- N. Shore- Waialua Estate,0.55,U.S.A.,2.75,Blend,Hawaii
Olive and Sinclair,Dark 67,0.67,U.S.A.,2.25,Unknown,Ghana- Domin. Rep
Olive and Sinclair,Dark 75,0.75,U.S.A.,2.5,Unknown,Ghana- Domin. Rep
Original Beans (Felchlin),D.R. Congo- Cru Virunga,0.7,Switzerland,2.5,Forastero,Congo
